"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"6"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD
\"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"8"	"1"	"195"	"26"	"342"	"33"	"8"	"6"	"8"	"83"	"19"	"14"	"18"	"32"	"784"	""	"784"	""
"9"	"2"	"297"	"143"	"246"	"6"	"2"	"3"	"3"	"6"	"3"	"15"	"7"	"14"	"745"	""	"745"	""
"10"	"3"	"103"	"71"	"212"	"6"	"4"	"6"	"8"	"62"	"7"	"20"	"15"	"28"	"542"	""	"542"	""
"11"	"4"	"21"	"77"	"97"	"3"	"0"	"1"	"0"	"18"	"1"	"8"	"2"	"8"	"236"	""	"236"	""
"12"	"4A"	"51"	"79"	"279"	"20"	"7"	"3"	"4"	"138"	"9"	"24"	"14"	"32"	"660"	""	"660"	""
"13"	"5"	"75"	"300"	"220"	"20"	"4"	"6"	"5"	"33"	"4"	"40"	"11"	"7"	"725"	""	"725"	""
"14"	"6"	"111"	"116"	"20"	"0"	"1"	"1"	"1"	"28"	"4"	"9"	"3"	"6"	"300"	""	"300"	""
"15"	"6A"	"83"	"403"	"12"	"4"	"0"	"1"	"5"	"13"	"0"	"30"	"6"	"9"	"566"	""	"566"	""
"16"	"7"	"20"	"208"	"170"	"13"	"3"	"8"	"10"	"7"	"7"	"34"	"18"	"23"	"521"	""	"521"	""
"17"	"8"	"31"	"199"	"76"	"4"	"1"	"0"	"4"	"4"	"4"	"25"	"5"	"7"	"360"	""	"360"	""
"18"	"9"	"25"	"184"	"319"	"16"	"2"	"8"	"7"	"49"	"5"	"17"	"3"	"10"	"645"	""	"645"	""
"19"	"10"	"38"	"424"	"90"	"12"	"4"	"8"	"1"	"3"	"1"	"41"	"9"	"8"	"639"	""	"639"	""
"20"	"11"	"180"	"455"	"12"	"4"	"3"	"1"	"2"	"6"	"2"	"21"	"3"	"4"	"693"	""	"693"	""
"21"	"12"	"42"	"59"	"252"	"13"	"4"	"1"	"10"	"104"	"12"	"14"	"18"	"29"	"558"	""	"558"	""
"22"	"Current Round Total"	"1272"	"2744"	"2347"	"154"	"43"	"53"	"68"	"554"	"78"	"312"	"132"	"217"	"7974"	"0"	"7974"	"0"
"23"	"(Statutory Rules and Order)                                                      ROUND : SECOND"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
