"Total.No..of.Electors.in.Assembly.Consitituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"Name of the Assembly…………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"( in the case of election from a parliamentary constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Round No. - 01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"5"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"6"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"7"	"1"	"jkStk izkFkfed fo0fcUn Vksyh m0Hkkx"	"199"	"8"	"71"	"25"	"2"	"1"	"1"	"0"	"0"	"1"	"1"	"5"	"5"	"10"	"87"	"416"	"416"
"8"	"2"	"jkStk izkFkfed fo0fcUn Vksyh n0Hkkx"	"199"	"2"	"32"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"9"	"7"	"67"	"329"	"329"
"9"	"3"	"izk0fo0jkStk ckyd"	"317"	"4"	"174"	"10"	"5"	"5"	"4"	"7"	"6"	"2"	"4"	"9"	"21"	"10"	"39"	"617"	"617"
"10"	"4"	"izk0fo0efB;k ckyd"	"79"	"2"	"299"	"70"	"7"	"2"	"1"	"5"	"3"	"4"	"6"	"6"	"13"	"9"	"13"	"519"	"519"
"11"	"5"	"d0izk0fo0 jkStk] egkchj LFkku"	"187"	"14"	"193"	"34"	"5"	"3"	"11"	"9"	"8"	"9"	"5"	"16"	"40"	"14"	"66"	"614"	"614"
"12"	"6"	"tudk ;kno ckfydk m0fo0jkStk"	"109"	"2"	"156"	"26"	"5"	"2"	"1"	"1"	"2"	"6"	"3"	"7"	"27"	"13"	"39"	"399"	"399"
"13"	"7"	"mnwZ e0 fo0 jkStk"	"57"	"2"	"161"	"5"	"0"	"0"	"1"	"1"	"2"	"5"	"0"	"0"	"5"	"2"	"1"	"242"	"242"
"14"	"8"	"e0 fo0 cM+k rssyik"	"231"	"6"	"241"	"24"	"5"	"2"	"1"	"10"	"2"	"5"	"3"	"9"	"5"	"4"	"36"	"584"	"584"
"15"	"9"	"e0fo0 lsok lnu rsyik m0 Hkkx"	"147"	"10"	"281"	"19"	"2"	"1"	"3"	"6"	"4"	"4"	"1"	"7"	"27"	"6"	"29"	"547"	"547"
"16"	"10"	"e0fo0 lsok lnu rsyik n0 Hkkx"	"142"	"5"	"126"	"11"	"1"	"9"	"2"	"7"	"2"	"1"	"7"	"1"	"8"	"1"	"15"	"338"	"338"
"17"	"11"	"izk0fo0fopyk rsyik] m0 Hkkx"	"198"	"6"	"90"	"5"	"0"	"1"	"1"	"2"	"1"	"1"	"0"	"0"	"2"	"1"	"1"	"309"	"309"
"18"	"12"	"izk0fo0fopyk rsyik] n0 Hkkx"	"260"	"10"	"118"	"19"	"2"	"1"	"1"	"1"	"3"	"0"	"1"	"1"	"5"	"4"	"35"	"461"	"461"
"19"	"13"	"pUnz'ks[kj vktkn e0 fo0 fcpyk rsyik"	"250"	"71"	"250"	"20"	"3"	"0"	"0"	"2"	"0"	"1"	"4"	"1"	"10"	"6"	"23"	"641"	"641"
"20"	"14"	"vkj{kh cky fo0 vkj{kh dsUnz] Nijk"	"45"	"4"	"174"	"19"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"3"	"1"	"0"	"251"	"251"
"21"	"Total"	""	"2420"	"146"	"2366"	"296"	"39"	"28"	"27"	"51"	"34"	"40"	"38"	"63"	"180"	"88"	"451"	"6267"	"6267"
"22"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Name of the Assembly…………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"( in the case of election from a parliamentary constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Round No. - 02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"27"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"28"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"29"	"14 A"	"vkj{kh cky fo0 vkj{kh dsUnz] Nijk"	"280"	"1"	"85"	"16"	"2"	"1"	"1"	"0"	"2"	"0"	"1"	"1"	"1"	"3"	"7"	"401"	"401"
"30"	"15"	"yksd ekU; e0 fo0 xka/kh pkSd] m0Hkkx"	"219"	"3"	"127"	"8"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"6"	"4"	"2"	"10"	"384"	"384"
"31"	"16"	"yksd ekU; e0 fo0 xka/kh pkSd] n0Hkkx"	"332"	"8"	"85"	"13"	"4"	"0"	"2"	"2"	"0"	"1"	"1"	"1"	"2"	"0"	"7"	"458"	"458"
"32"	"17"	"foKku egk fo0 dVgjh ckx m0Hkkx"	"127"	"7"	"249"	"16"	"0"	"3"	"0"	"3"	"3"	"2"	"1"	"2"	"11"	"6"	"8"	"438"	"438"
"33"	"18"	"foKku egk fo0 dVgjh ckx iw0Hkkx"	"179"	"8"	"247"	"12"	"0"	"0"	"5"	"4"	"0"	"1"	"3"	"1"	"8"	"7"	"7"	"482"	"482"
"34"	"19"	"foKku egk fo0 dVgjh ckx n0Hkkx"	"291"	"9"	"146"	"17"	"1"	"4"	"0"	"5"	"1"	"5"	"1"	"2"	"9"	"3"	"14"	"508"	"508"
"35"	"20"	"iz0fo0djhepd"	"236"	"3"	"50"	"6"	"0"	"2"	"1"	"0"	"0"	"1"	"1"	"1"	"3"	"2"	"8"	"314"	"314"
"36"	"21"	"lk/kqyky i`Foh pUn m0fo0bekexat"	"177"	"5"	"105"	"10"	"2"	"0"	"0"	"0"	"2"	"1"	"1"	"3"	"5"	"1"	"7"	"319"	"319"
"37"	"21 A"	"lk/kqyky i`Foh pUn m0fo0bekexat"	"61"	"4"	"188"	"25"	"2"	"2"	"1"	"1"	"3"	"1"	"0"	"1"	"9"	"4"	"7"	"309"	"309"
"38"	"22"	"mnwZ e0 fo0 lgcktpd i0 Hkkx"	"182"	"4"	"91"	"14"	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"298"	"298"
"39"	"23"	"mnwZ e0 fo0 lgcktpd e0 Hkkx"	"134"	"2"	"142"	"5"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"290"	"290"
"40"	"24"	"mnwZ e/; fo0lgcktpd u;k Vksyk iw0Hkkx"	"352"	"4"	"45"	"15"	"2"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"12"	"435"	"435"
"41"	"25"	"pfyr e0ea0fo'okl cksMZ xaxk ifj;kstuk izeaMy ds ifj"	"113"	"4"	"369"	"17"	"2"	"1"	"1"	"8"	"1"	"2"	"1"	"4"	"5"	"1"	"17"	"546"	"546"
"42"	"26"	"izk0 fo0 lgscxat"	"289"	"4"	"105"	"21"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"4"	"1"	"4"	"432"	"432"
"43"	"Total"	""	"2972"	"66"	"2034"	"195"	"18"	"16"	"11"	"29"	"17"	"16"	"12"	"23"	"63"	"33"	"109"	"5614"	"5614"
"44"	"B.F."	""	"2420"	"146"	"2366"	"296"	"39"	"28"	"27"	"51"	"34"	"40"	"38"	"63"	"180"	"88"	"451"	"6267"	"6267"
"45"	"G.Total"	""	"5392"	"212"	"4400"	"491"	"57"	"44"	"38"	"80"	"51"	"56"	"50"	"86"	"243"	"121"	"560"	"11881"	"11881"
"46"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"47"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"48"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"49"	"27"	"pfyr e0ea0fo'okl cksMZ xaxk ifj;kstuk izeaMy ds ifj"	"302"	"6"	"111"	"7"	"2"	"1"	"2"	"0"	"2"	"3"	"3"	"1"	"4"	"5"	"6"	"455"	"455"
"50"	"28"	"y[ku yky jek nsoh fo0 :ixat"	"95"	"4"	"217"	"11"	"0"	"0"	"0"	"2"	"1"	"5"	"2"	"3"	"8"	"1"	"13"	"362"	"362"
"51"	"29"	"deyk nsoh oS'; /keZ'kkyk vk;ks/;k iz0xqIrk v'kksd ux"	"125"	"2"	"223"	"6"	"1"	"1"	"1"	"6"	"1"	"3"	"0"	"0"	"9"	"3"	"4"	"385"	"385"
"52"	"29 A"	"deyk nsoh oS'; /keZ'kkyk vk;ks/;k iz0xqIrk v'kksd ux"	"143"	"2"	"172"	"8"	"0"	"0"	"0"	"3"	"1"	"2"	"2"	"0"	"6"	"2"	"9"	"350"	"350"
"53"	"30"	"gj}kj iz0 /keZ'kkyk nynyh cktkj n0 Hkkx"	"332"	"4"	"191"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"1"	"10"	"548"	"548"
"54"	"31"	"gj}kj iz0 /keZ'kkyk nynyh cktkj m0 Hkkx"	"278"	"4"	"255"	"27"	"2"	"3"	"1"	"1"	"1"	"8"	"0"	"0"	"9"	"3"	"21"	"613"	"613"
"55"	"32"	"dU;k e0fo0ekSuk nynyh cktkj m0 Hkkx"	"244"	"2"	"360"	"6"	"1"	"0"	"0"	"1"	"0"	"6"	"2"	"1"	"10"	"2"	"15"	"650"	"650"
"56"	"33"	"czkEg.k m0 fo0 m0Hkkx"	"87"	"3"	"295"	"13"	"2"	"4"	"5"	"3"	"2"	"2"	"2"	"4"	"8"	"2"	"29"	"461"	"461"
"57"	"33 A 1"	"czkEg.k m0 fo0 m0Hkkx"	"44"	"6"	"128"	"13"	"1"	"0"	"0"	"4"	"1"	"0"	"2"	"2"	"1"	"1"	"11"	"214"	"214"
"58"	"34"	"iapk;r Hkou] ekSuk"	"110"	"12"	"407"	"23"	"2"	"2"	"5"	"5"	"0"	"4"	"2"	"4"	"8"	"4"	"12"	"600"	"600"
"59"	"35"	"czkEg.k m0 fo0 n0Hkkx"	"78"	"2"	"270"	"21"	"1"	"0"	"2"	"5"	"1"	"2"	"1"	"4"	"4"	"3"	"13"	"407"	"407"
"60"	"35 A 1"	"czkEg.k m0 fo0 m0Hkkx"	"56"	"4"	"150"	"7"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"4"	"226"	"226"
"61"	"36"	"e/; fo0 ekSuk n0 Hkkx"	"74"	"13"	"342"	"28"	"4"	"3"	"3"	"9"	"0"	"1"	"3"	"3"	"10"	"3"	"8"	"504"	"504"
"62"	"37"	"czkEg.k m0fo0 dejk ua0 91"	"107"	"7"	"145"	"22"	"4"	"1"	"1"	"5"	"0"	"1"	"0"	"5"	"2"	"4"	"20"	"324"	"324"
"63"	"Total"	""	"2075"	"71"	"3266"	"196"	"21"	"16"	"21"	"44"	"10"	"39"	"20"	"29"	"81"	"35"	"175"	"6099"	"6099"
"64"	"B.F."	""	"5392"	"212"	"4400"	"491"	"57"	"44"	"38"	"80"	"51"	"56"	"50"	"86"	"243"	"121"	"560"	"11881"	"11881"
"65"	"G.Total"	""	"7467"	"283"	"7666"	"687"	"78"	"60"	"59"	"124"	"61"	"95"	"70"	"115"	"324"	"156"	"735"	"17980"	"17980"
"66"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"67"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"68"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"69"	"37 A"	"czkEg.k m0fo0 dejk ua0 91"	"129"	"4"	"135"	"27"	"1"	"1"	"1"	"1"	"2"	"0"	"0"	"1"	"4"	"3"	"15"	"324"	"324"
"70"	"38"	"dU;k izkFkfed fo0 eksgu uxj"	"43"	"10"	"185"	"23"	"0"	"0"	"1"	"3"	"3"	"2"	"1"	"0"	"7"	"5"	"5"	"288"	"288"
