"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"sembly Constituency/Segment                                                227264"	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Assembly/Segment                                                             199-Shahpur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	""	"DHARMPAL SINGH"	"MUNNI DEVI"	"RAM
BHARAN SAXENA"	"SHIVANAND TIWARY"	"DADAN SINGH"	"RAMAKANT THAKUR"	"KALIKA SINGH"	"DR.
GAUTAM OJHA"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"11"	""	""	"LJSP"	"BJP"	"BSP"	"RJD"	"AJVD"	"SP"	"IND"	"IND"	""	""	""	""
"12"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"13"	"1"	"PRIMARY SCHOOL ISWAERPURA(NORTH PART)"	"82"	"117"	"2"	"61"	"7"	"2"	"5"	"11"	"287"	"0"	"287"	"0"
"14"	"1A"	"PRIMARY SCHOOL ISWAERPURA(NORTH PART)(MOBILE)"	"17"	"83"	"4"	"80"	"2"	"1"	"1"	"3"	"191"	"0"	"191"	"0"
"15"	"2"	"PRIMARY SCHOOL ISHWARPURA(SOUTH PART)"	"43"	"122"	"5"	"91"	"9"	"0"	"1"	"3"	"274"	"0"	"274"	"0"
"16"	"2A"	"PRIMARY SCHOOL ISHWARPURA(SOUTH PART)(MOBILE)"	"20"	"99"	"2"	"59"	"2"	"2"	"4"	"8"	"196"	"0"	"196"	"0"
"17"	"3"	"PANCHYAT BHAWAN ISHWARPURA"	"35"	"227"	"15"	"95"	"3"	"5"	"1"	"7"	"388"	"0"	"388"	"0"
"18"	"4"	"PRIMARY SCHOOL RAMCHANDRA SAMERIYA"	"3"	"634"	"1"	"7"	"0"	"0"	"1"	"0"	"646"	"0"	"646"	"0"
"19"	"5"	"MIDDLE SCHOOL LALOO KA DERA(EAST PART)"	"22"	"7"	"8"	"126"	"128"	"6"	"3"	"4"	"304"	"0"	"304"	"0"
"20"	"5A"	"MIDDLE SCHOOL LALOO KA DERA(MIDDLE PART)"	"16"	"16"	"7"	"93"	"76"	"5"	"10"	"17"	"240"	"0"	"240"	"0"
"21"	"6"	"MIDDEL SCHOOL LALOO KA DERA (WEST PART)"	"24"	"26"	"4"	"91"	"162"	"4"	"1"	"7"	"319"	"0"	"319"	"0"
"22"	"6A"	"MIDDEL SCHOOL LALOO KA DERA (WEST PART)(MOBILE)"	"48"	"3"	"1"	"19"	"120"	"3"	"3"	"8"	"205"	"0"	"205"	"0"
"23"	"7"	"PRIMARY SCHOOL MARCHIYA"	"15"	"49"	"13"	"245"	"145"	"16"	"11"	"26"	"520"	"0"	"520"	"0"
"24"	"8"	"PRIMARY SCHOOL MADHOPUR"	"37"	"122"	"10"	"72"	"64"	"11"	"16"	"29"	"361"	"0"	"361"	"0"
"25"	"9"	"PRIMARY SCHOOL KARIMAN KA DERA"	"3"	"163"	"2"	"42"	"6"	"2"	"0"	"3"	"221"	"0"	"221"	"0"
"26"	"10"	"PRIMARY SCHOOL SOHNBARSA"	"6"	"10"	"2"	"439"	"12"	"1"	"1"	"2"	"473"	"0"	"473"	"0"
"27"	"11"	"MIDDLE SCHOOL SONEBARSA(EAST PART)"	"53"	"17"	"7"	"168"	"2"	"1"	"0"	"7"	"255"	"0"	"255"	"0"
"28"	"12"	"MIDDLE SCHOOL SONEBARSA(WEST PART)"	"4"	"17"	"1"	"170"	"5"	"1"	"0"	"2"	"200"	"0"	"200"	"0"
"29"	"13"	"PRIMARY SCHOOL PERSODA"	"3"	"34"	"4"	"169"	"4"	"5"	"2"	"0"	"221"	"0"	"221"	"0"
"30"	"14"	"SRINATH TAHKUR KI BRAMDA PER"	"38"	"92"	"10"	"44"	"2"	"35"	"4"	"4"	"229"	"0"	"229"	"0"
"31"	"15"	"PRIMARY  SCHOOL BIHAMPATIE"	"33"	"409"	"8"	"98"	"6"	"3"	"1"	"2"	"560"	"0"	"560"	"0"
"32"	"Serial No. of Polling Station"	""	"DHARMPAL SINGH"	"MUNNI DEVI"	"RAM BHARAN
SAXENA"	"SHIVANAND TIWARY"	"DADAN SINGH"	"RAMAKANT THAKUR"	"KALIKA SINGH"	"DR. GAUTAM
OJHA"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"33"	""	""	"LJSP"	"BJP"	"BSP"	"RJD"	"AJVD"	"SP"	"IND"	"IND"	""	""	""	""
"34"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"35"	"16"	"PRIMARY SCHOOL DHERMAGATPUR"	"40"	"151"	"9"	"179"	"7"	"5"	"6"	"12"	"409"	"0"	"409"	"0"
"36"	"17"	"PRIMARY SCHOOL BANSHIPUR"	"104"	"232"	"15"	"100"	"9"	"11"	"12"	"17"	"500"	"0"	"500"	"0"
"37"	"18"	"HIGH SCHOOL KARNAMAPUR(NORTH PART)"	"38"	"216"	"12"	"190"	"9"	"2"	"4"	"7"	"478"	"0"	"478"	"0"
"38"	"19"	"HIGH SCHOOL KARNAMEPUR(MIDDLE PART)"	"74"	"90"	"8"	"178"	"6"	"5"	"2"	"22"	"385"	"0"	"385"	"0"
"39"	"20"	"HIGH SCHOOL KARNAMEPUR(SOUTH PART)"	"43"	"111"	"12"	"139"	"8"	"8"	"5"	"17"	"343"	"0"	"343"	"0"
