"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)] PART I"	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Asembly Constituency -    196247"	""	""	""	""	""	""	""	""	""	""	""
"4"	"Name of the Assembly Constituency : - 85 Bahera"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"6"	""	""	"Abdul Bari Siddiqui"	"S.M. Zafar Imam"	"Ram Narayan Thakur"	"Binod ku. Ram"	"Binod Yadav"	"Vishnudev Ram"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"8"	"1"	"1"	"59"	"24"	"200"	"20"	"5"	"9"	"317"	"0"	"317"	"0"
"9"	"2"	"2"	"126"	"78"	"137"	"13"	"7"	"11"	"372"	"0"	"372"	"0"
"10"	"3"	"3"	"31"	"24"	"190"	"6"	"6"	"9"	"266"	"0"	"266"	"0"
"11"	"4"	"3A"	"15"	"24"	"211"	"9"	"4"	"4"	"267"	"0"	"267"	"0"
"12"	"5"	"4"	"69"	"211"	"110"	"18"	"19"	"17"	"444"	"0"	"444"	"0"
"13"	"6"	"5"	"334"	"63"	"20"	"6"	"10"	"23"	"456"	"0"	"456"	"0"
"14"	"7"	"6"	"354"	"110"	"51"	"9"	"10"	"57"	"591"	"0"	"591"	"0"
"15"	"8"	"7"	"207"	"114"	"26"	"9"	"11"	"23"	"390"	"0"	"390"	"0"
"16"	"9"	"8"	"95"	"110"	"235"	"12"	"15"	"17"	"484"	"0"	"484"	"0"
"17"	"10"	"9"	"26"	"77"	"228"	"8"	"7"	"1"	"347"	"0"	"347"	"0"
"18"	"11"	"10"	"224"	"134"	"71"	"20"	"11"	"14"	"474"	"0"	"474"	"0"
"19"	"12"	"11"	"217"	"116"	"45"	"10"	"2"	"3"	"393"	"0"	"393"	"0"
"20"	"13"	"12"	"55"	"194"	"116"	"17"	"10"	"13"	"405"	"0"	"405"	"0"
"21"	"14"	"13"	"25"	"59"	"201"	"10"	"5"	"3"	"303"	"0"	"303"	"0"
"22"	"15"	"14"	"229"	"105"	"151"	"15"	"11"	"41"	"552"	"0"	"552"	"0"
"23"	"16"	"15"	"220"	"82"	"126"	"10"	"9"	"10"	"457"	"0"	"457"	"0"
"24"	"17"	"16"	"264"	"68"	"121"	"15"	"9"	"25"	"502"	"0"	"502"	"0"
"25"	"18"	"17"	"34"	"47"	"244"	"5"	"0"	"3"	"333"	"0"	"333"	"0"
"26"	"19"	"18"	"318"	"91"	"106"	"15"	"6"	"17"	"553"	"0"	"553"	"0"
"27"	"20"	"19"	"134"	"88"	"221"	"19"	"12"	"11"	"485"	"0"	"485"	"0"
"28"	"21"	"20"	"86"	"87"	"161"	"15"	"5"	"4"	"358"	"0"	"358"	"0"
"29"	"22"	"21"	"42"	"38"	"129"	"4"	"2"	"11"	"226"	"0"	"226"	"0"
"30"	"23"	"22"	"305"	"29"	"19"	"3"	"0"	"11"	"367"	"0"	"367"	"0"
"31"	"24"	"22A"	"162"	"24"	"31"	"3"	"3"	"26"	"249"	"0"	"249"	"0"
"32"	"25"	"23"	"333"	"21"	"24"	"7"	"3"	"20"	"408"	"0"	"408"	"0"
"33"	"26"	"24"	"170"	"51"	"144"	"21"	"14"	"20"	"420"	"0"	"420"	"0"
"34"	"27"	"25"	"125"	"53"	"162"	"35"	"9"	"24"	"408"	"0"	"408"	"0"
"35"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"36"	""	""	"Abdul Bari Siddiqui"	"S.M. Zafar Imam"	"Ram Narayan Thakur"	"Binod ku. Ram"	"Binod Yadav"	"Vishnudev Ram"	""	""	""	""
"37"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"38"	"28"	"26"	"188"	"24"	"15"	"4"	"2"	"9"	"242"	"0"	"242"	"0"
"39"	"29"	"26A"	"132"	"42"	"31"	"13"	"3"	"12"	"233"	"0"	"233"	"0"
"40"	"30"	"27"	"169"	"159"	"11"	"3"	"8"	"5"	"355"	"0"	"355"	"0"
"41"	"31"	"27A"	"205"	"119"	"11"	"5"	"5"	"9"	"354"	"0"	"354"	"0"
"42"	"32"	"28"	"14"	"65"	"25"	"8"	"1"	"3"	"116"	"0"	"116"	"0"
"43"	"33"	"29"	"150"	"21"	"219"	"7"	"2"	"8"	"407"	"0"	"407"	"0"
"44"	"34"	"30"	"102"	"19"	"331"	"31"	"7"	"16"	"506"	"0"	"506"	"0"
"45"	"35"	"31"	"53"	"5"	"357"	"16"	"6"	"7"	"444"	"0"	"444"	"0"
"46"	"36"	"32"	"284"	"25"	"198"	"14"	"1"	"13"	"535"	"0"	"535"	"0"
"47"	"37"	"33"	"111"	"168"	"204"	"19"	"13"	"16"	"531"	"0"	"531"	"0"
"48"	"38"	"34"	"156"	"14"	"159"	"6"	"2"	"13"	"350"	"0"	"350"	"0"
"49"	"39"	"35"	"35"	"10"	"270"	"12"	"3"	"7"	"337"	"0"	"337"	"0"
"50"	"40"	"36"	"16"	"19"	"262"	"12"	"4"	"0"	"313"	"0"	"313"	"0"
"51"	"41"	"37"	"51"	"8"	"150"	"7"	"6"	"14"	"236"	"0"	"236"	"0"
"52"	"42"	"38"	"479"	"36"	"81"	"6"	"7"	"17"	"626"	"0"	"626"	"0"
"53"	"43"	"39"	"315"	"25"	"38"	"6"	"6"	"16"	"406"	"0"	"406"	"0"
"54"	"44"	"40"	"443"	"49"	"46"	"5"	"2"	"2"	"547"	"0"	"547"	"0"
"55"	"45"	"41"	"94"	"11"	"280"	"19"	"13"	"18"	"435"	"0"	"435"	"0"
"56"	"46"	"42"	"108"	"114"	"119"	"12"	"10"	"18"	"381"	"0"	"381"	"0"
"57"	"47"	"43"	"24"	"32"	"258"	"13"	"9"	"11"	"347"	"0"	"347"	"0"
"58"	"48"	"44"	"82"	"37"	"149"	"12"	"16"	"19"	"315"	"0"	"315"	"0"
"59"	"49"	"45"	"71"	"12"	"236"	"13"	"6"	"12"	"350"	"0"	"350"	"0"
"60"	"50"	"46"	"164"	"51"	"127"	"13"	"4"	"8"	"367"	"0"	"367"	"0"
"61"	"51"	"47"	"86"	"49"	"231"	"20"	"11"	"15"	"412"	"0"	"412"	"0"
"62"	"52"	"48"	"43"	"61"	"281"	"23"	"14"	"26"	"448"	"0"	"448"	"0"
"63"	"53"	"49"	"67"	"75"	"165"	"11"	"6"	"7"	"331"	"0"	"331"	"0"
"64"	"54"	"50"	"73"	"44"	"264"	"15"	"4"	"6"	"406"	"0"	"406"	"0"
"65"	"55"	"51"	"34"	"3"	"181"	"6"	"1"	"2"	"227"	"0"	"227"	"0"
"66"	"56"	"52"	"145"	"31"	"129"	"14"	"4"	"3"	"326"	"0"	"326"	"0"
"67"	"57"	"53"	"276"	"72"	"26"	"3"	"4"	"14"	"395"	"0"	"395"	"0"
"68"	"58"	"54"	"68"	"44"	"314"	"27"	"9"	"14"	"476"	"0"	"476"	"0"
"69"	"59"	"55"	"37"	"15"	"247"	"8"	"5"	"4"	"316"	"0"	"316"	"0"
"70"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"71"	""	""	"Abdul Bari Siddiqui"	"S.M. Zafar Imam"	"Ram Narayan Thakur"	"Binod ku. Ram"	"Binod Yadav"	"Vishnudev Ram"	""	""	""	""
"72"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"73"	"60"	"56"	"76"	"21"	"151"	"7"	"5"	"17"	"277"	"0"	"277"	"0"
"74"	"61"	"57"	"234"	"25"	"225"	"16"	"10"	"26"	"536"	"0"	"536"	"0"
"75"	"62"	"58"	"214"	"39"	"164"	"17"	"9"	"18"	"461"	"0"	"461"	"0"
"76"	"63"	"59"	"151"	"22"	"324"	"20"	"6"	"8"	"531"	"0"	"531"	"0"
"77"	"64"	"60"	"126"	"30"	"313"	"11"	"1"	"6"	"487"	"0"	"487"	"0"
"78"	"65"	"61"	"78"	"30"	"386"	"9"	"3"	"2"	"508"	"0"	"508"	"0"
"79"	"66"	"62"	"41"	"5"	"290"	"8"	"4"	"5"	"353"	"0"	"353"	"0"
"80"	"67"	"63"	"217"	"33"	"156"	"18"	"13"	"15"	"452"	"0"	"452"	"0"
"81"	"68"	"64"	"269"	"22"	"70"	"9"	"6"	"10"	"386"	"0"	"386"	"0"
"82"	"69"	"65"	"110"	"16"	"388"	"32"	"12"	"43"	"601"	"0"	"601"	"0"
"83"	"70"	"66"	"42"	"15"	"246"	"18"	"13"	"9"	"343"	"0"	"343"	"0"
"84"	"71"	"67"	"24"	"9"	"262"	"6"	"2"	"1"	"304"	"0"	"304"	"0"
"85"	"72"	"68"	"258"	"29"	"178"	"18"	"2"	"13"	"498"	"0"	"498"	"0"
"86"	"73"	"69"	"494"	"12"	"17"	"2"	"4"	"7"	"536"	"0"	"536"	"0"
"87"	"74"	"70"	"343"	"9"	"80"	"13"	"3"	"8"	"456"	"0"	"456"	"0"
"88"	"75"	"71"	"7"	"5"	"506"	"22"	"3"	"9"	"552"	"0"	"552"	"0"
"89"	"76"	"72"	"16"	"6"	"452"	"13"	"3"	"3"	"493"	"0"	"493"	"0"
"90"	"77"	"73"	"25"	"4"	"443"	"5"	"0"	"2"	"479"	"0"	"479"	"0"
"91"	"78"	"74"	"32"	"39"	"247"	"15"	"8"	"12"	"353"	"0"	"353"	"0"
"92"	"79"	"75"	"149"	"90"	"82"	"15"	"7"	"10"	"353"	"0"	"353"	"0"
"93"	"80"	"76"	"11"	"2"	"313"	"11"	"2"	"4"	"343"	"0"	"343"	"0"
"94"	"81"	"77"	"142"	"16"	"156"	"14"	"5"	"17"	"350"	"0"	"350"	"0"
"95"	"82"	"78"	"246"	"97"	"115"	"20"	"10"	"17"	"505"	"0"	"505"	"0"
"96"	"83"	"79"	"130"	"90"	"171"	"13"	"9"	"9"	"422"	"0"	"422"	"0"
"97"	"84"	"80"	"60"	"11"	"296"	"13"	"10"	"22"	"412"	"0"	"412"	"0"
"98"	"85"	"81"	"38"	"35"	"227"	"24"	"10"	"6"	"340"	"0"	"340"	"0"
