"ASSEMBLY.ELECTION...2005"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"226- MAKHDUMPUR  ASSEMBLY CONSTITUENCY PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form-20 See rule 56(7)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Election to the Bihar Legislative Assembly from 226-  Makhdumpur Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"7"	""	"Krishnandan Prasad Verma"	"Baliram Yadav"	"Rajdev Prasad Verma"	"Ram Jatan Sinha"	"Ramashray Prasad Singh"	"Sanjeet Kumar"	"Nagwant Singh"	"Sanjay Manjhi"	"Horil Ram"	""	""	""	""
"8"	"1"	"153"	"11"	"4"	"68"	"38"	"3"	"0"	"25"	"5"	"307"	""	"307"	""
"9"	"1A"	"76"	"6"	"3"	"27"	"22"	"1"	"1"	"0"	"3"	"139"	""	"139"	""
"10"	"2"	"200"	"4"	"2"	"5"	"0"	"1"	"2"	"2"	"2"	"218"	""	"218"	""
"11"	"3"	"102"	"1"	"0"	"31"	"5"	"4"	"0"	"0"	"2"	"145"	""	"145"	""
"12"	"4"	"2"	"0"	"0"	"48"	"104"	"1"	"0"	"1"	"1"	"157"	""	"157"	""
"13"	"5"	"44"	"2"	"0"	"8"	"83"	"0"	"0"	"0"	"0"	"137"	""	"137"	""
"14"	"6"	"9"	"0"	"10"	"3"	"379"	"1"	"0"	"0"	"0"	"402"	""	"402"	""
"15"	"7"	"116"	"9"	"76"	"113"	"75"	"8"	"2"	""	""	"399"	""	"399"	""
"16"	"8"	"143"	"102"	"4"	"9"	"66"	"4"	"3"	"7"	"20"	"358"	""	"358"	""
"17"	"9"	"86"	"8"	"2"	"3"	"1"	"1"	"0"	"0"	"0"	"101"	""	"101"	""
"18"	"10"	"28"	"4"	"13"	"181"	"165"	"18"	"5"	"12"	"22"	"448"	""	"448"	""
"19"	"11"	"187"	"10"	"5"	"53"	"148"	"4"	"1"	"11"	"17"	"436"	""	"436"	""
"20"	"12"	"89"	"3"	"2"	"57"	"130"	"7"	"2"	"2"	"9"	"301"	""	"301"	""
"21"	"13"	"47"	"21"	"1"	"75"	"399"	"7"	"4"	"1"	"7"	"562"	""	"562"	""
"22"	"14"	"12"	"0"	"1"	"88"	"112"	"8"	"1"	"4"	"8"	"234"	""	"234"	""
"23"	"15"	"14"	"34"	"5"	"74"	"238"	"13"	"6"	"6"	"10"	"400"	""	"400"	""
"24"	"16"	"46"	"18"	"0"	"17"	"2"	"2"	"3"	"0"	"6"	"94"	""	"94"	""
"25"	"17"	"229"	"17"	"3"	"2"	"1"	"3"	"1"	"2"	"2"	"260"	""	"260"	""
"26"	"18"	"243"	"26"	"2"	"32"	"22"	"9"	"3"	"1"	"17"	"355"	""	"355"	""
"27"	"19"	"21"	"8"	"13"	"66"	"117"	"6"	"3"	"3"	"6"	"243"	""	"243"	""
"28"	"20"	"19"	"2"	"0"	"59"	"319"	"8"	"4"	"2"	"8"	"421"	""	"421"	""
"29"	"21"	"36"	"8"	"2"	"63"	"203"	"5"	"2"	"1"	"18"	"338"	""	"338"	""
"30"	"22"	"109"	"4"	"1"	"9"	"60"	"6"	"1"	"3"	"20"	"213"	""	"213"	""
"31"	"23"	"211"	"8"	"1"	"2"	"49"	"2"	"1"	"0"	"5"	"279"	""	"279"	""
"32"	"24"	"51"	"2"	"1"	"76"	"71"	"4"	"5"	"0"	"8"	"218"	""	"218"	""
"33"	"25"	"56"	"4"	"10"	"62"	"113"	"5"	"1"	"2"	"7"	"260"	""	"260"	""
"34"	"26"	"83"	"54"	"14"	"30"	"142"	"9"	"4"	"3"	"29"	"368"	""	"368"	""
"35"	"27"	"73"	"3"	"3"	"28"	"1"	"0"	"0"	"0"	"0"	"108"	""	"108"	""
"36"	"28"	"39"	"98"	"32"	"28"	"143"	"10"	"12"	"20"	"39"	"421"	""	"421"	""
"37"	"29"	"4"	"4"	"0"	"55"	"334"	"8"	"1"	"1"	"7"	"414"	""	"414"	""
"38"	"30"	"8"	"0"	"1"	"41"	"251"	"3"	"0"	"2"	"11"	"317"	""	"317"	""
"39"	"31"	"144"	"10"	"4"	"50"	"107"	"5"	"2"	"8"	"16"	"346"	""	"346"	""
"40"	"32"	"257"	"6"	"5"	"8"	"3"	"2"	"1"	"4"	"8"	"294"	""	"294"	""
"41"	"33"	"105"	"4"	"1"	"32"	"8"	"1"	"0"	"1"	"3"	"155"	""	"155"	""
"42"	"34"	"429"	"1"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"437"	""	"437"	""
"43"	"35"	"91"	"19"	"1"	"10"	"29"	"0"	"0"	"0"	"3"	"153"	""	"153"	""
"44"	"36"	"104"	"2"	"4"	"22"	"75"	"5"	"0"	"2"	"9"	"223"	""	"223"	""
"45"	"36A"	"44"	"5"	"3"	"131"	"126"	"8"	"6"	"3"	"6"	"332"	""	"332"	""
"46"	"37"	"28"	"2"	"1"	"51"	"215"	"10"	"3"	"4"	"44"	"358"	""	"358"	""
"47"	"38"	"1"	"0"	"0"	"70"	"104"	"2"	"0"	"0"	"0"	"177"	""	"177"	""
"48"	"39"	"3"	"0"	"1"	"28"	"218"	"1"	"3"	"1"	"1"	"256"	""	"256"	""
"49"	"40"	"166"	"0"	"0"	"79"	"36"	"3"	"0"	"0"	"2"	"286"	""	"286"	""
"50"	"41"	"134"	"4"	"2"	"137"	"57"	"0"	"0"	"0"	"2"	"336"	""	"336"	""
"51"	"42"	"134"	"4"	"4"	"209"	"49"	"2"	"2"	"1"	"4"	"409"	""	"409"	""
"52"	"43"	"8"	"6"	"6"	"123"	"128"	"3"	"0"	"1"	"0"	"275"	""	"275"	""
"53"	"44"	"161"	"9"	"5"	"77"	"3"	"7"	"1"	"0"	"3"	"266"	""	"266"	""
"54"	"45"	"241"	"18"	"8"	"31"	"2"	"1"	"3"	"1"	"3"	"308"	""	"308"	""
"55"	"46"	"70"	"5"	"2"	"65"	"145"	"5"	"3"	"2"	"8"	"305"	""	"305"	""
"56"	"47"	"132"	"3"	"1"	"40"	"164"	"8"	"3"	"0"	"12"	"363"	""	"363"	""
"57"	"48"	"13"	"2"	"2"	"60"	"161"	"4"	"1"	"0"	"4"	"247"	""	"247"	""
