"ernku.dsUnz.la..k"	"iiiizzRRzzRR....kkkk....kkkkhhhh.ddddssss.eeeerrrr"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"
"1"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"3"	"1"	"299"	"13"	"22"	"34"	"4"	"5"	"13"	"390"
"4"	"2"	"116"	"8"	"13"	"194"	"20"	"9"	"25"	"385"
"5"	"3"	"251"	"8"	"9"	"190"	"16"	"3"	"15"	"492"
"6"	"4"	"123"	"3"	"18"	"141"	"6"	"4"	"5"	"300"
"7"	"5"	"195"	"8"	"6"	"60"	"6"	"6"	"20"	"301"
"8"	"6"	"33"	"4"	"1"	"104"	"4"	"1"	"1"	"148"
"9"	"7"	"197"	"11"	"10"	"94"	"9"	"8"	"17"	"346"
"10"	"7A"	"114"	"19"	"6"	"77"	"6"	"5"	"17"	"244"
"11"	"8"	"179"	"24"	"8"	"50"	"9"	"8"	"37"	"315"
"12"	"9"	"263"	"17"	"14"	"122"	"16"	"2"	"8"	"442"
"13"	"10"	"191"	"10"	"12"	"118"	"13"	"3"	"23"	"370"
"14"	"11"	"131"	"7"	"1"	"30"	"7"	"4"	"14"	"194"
"15"	"11A"	"134"	"8"	"4"	"26"	"5"	""	"13"	"190"
"16"	"12"	"57"	"17"	"43"	"253"	"13"	"7"	"9"	"399"
"17"	";ksx&"	"2283"	"157"	"167"	"1493"	"134"	"65"	"217"	"4516"
"18"	"LFkku&"	""	""	""	""	""	""	""	""
"19"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"20"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"21"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"22"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"23"	"12A"	"55"	"7"	"5"	"169"	"7"	"1"	"7"	"251"
"24"	"13"	"111"	"14"	"15"	"291"	"33"	"12"	"19"	"495"
"25"	"14"	"158"	"4"	"5"	"115"	"4"	"1"	"8"	"295"
"26"	"15"	"130"	"11"	"8"	"210"	"19"	"6"	"21"	"405"
"27"	"16"	"45"	"15"	"43"	"205"	"10"	"3"	"5"	"326"
"28"	"16A"	"57"	"7"	"8"	"189"	"11"	""	"4"	"276"
"29"	"17"	"140"	"17"	"32"	"193"	"13"	"5"	"5"	"405"
"30"	"18"	"182"	"14"	"4"	"81"	"13"	"2"	"13"	"309"
"31"	"19"	"73"	"16"	"34"	"146"	"29"	"7"	"8"	"313"
"32"	"20"	"304"	"9"	"6"	"13"	"1"	"1"	"17"	"351"
"33"	"21"	"173"	"10"	"13"	"76"	"7"	"4"	"11"	"294"
"34"	"22"	"168"	"7"	"9"	"99"	"27"	"9"	"23"	"342"
"35"	"23"	"327"	"12"	"19"	"29"	"3"	"2"	"20"	"412"
"36"	"24"	"92"	"17"	"33"	"290"	"18"	"4"	"6"	"460"
"37"	";ksx&"	"2015"	"160"	"234"	"2106"	"195"	"57"	"167"	"4934"
"38"	"LFkku&"	""	""	""	""	""	""	""	""
"39"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"40"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"41"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"42"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"43"	"25"	"47"	"20"	"22"	"399"	"8"	"1"	"4"	"501"
"44"	"26"	"47"	"4"	"64"	"130"	"9"	"7"	"10"	"271"
"45"	"27"	"335"	"11"	"18"	"47"	"3"	"3"	"1"	"418"
"46"	"28"	"132"	"19"	"10"	"125"	"13"	"5"	"13"	"317"
"47"	"28A"	"73"	"15"	"11"	"230"	"27"	"6"	"21"	"383"
"48"	"29"	"224"	"12"	"78"	"120"	"9"	"1"	"14"	"458"
"49"	"30"	"49"	"4"	"28"	"222"	"13"	"8"	"17"	"341"
"50"	"31"	"528"	"15"	"9"	"38"	"3"	""	"3"	"596"
"51"	"32"	"59"	"14"	"15"	"326"	"16"	"5"	"9"	"444"
"52"	"33"	"186"	"4"	"11"	"69"	"9"	"2"	"1"	"282"
"53"	"34"	"91"	"2"	"12"	"235"	"4"	""	"1"	"345"
"54"	"35"	"56"	""	"2"	"198"	"3"	"1"	"1"	"261"
"55"	"35A"	"22"	""	"11"	"225"	"3"	""	"2"	"263"
"56"	"36"	"86"	"4"	"5"	"287"	"8"	"1"	"3"	"394"
"57"	";ksx&"	"1935"	"124"	"296"	"2651"	"128"	"40"	"100"	"5274"
"58"	"LFkku&"	""	""	""	""	""	""	""	""
"59"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"60"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"61"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"62"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
