"Total.No..of.Electors.in.Assembly.Constituency.Segment"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56(2) ( C ) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 29 PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"MEN"	""	"WOMEN"	""	"TOTAL"	""	"MEN"	""	"WOMEN"	""	"TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"123611"	""	"101080"	""	"224691"	""	"318"	""	"146"	""	"464"	""	"225155"	""	""	""	""	""	""	""	""	""	""
"7"	"Name of Assembly Segment:- 167-Munger"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"(in the case of Election form a Parlementary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of                                                                                                                                              TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"10"	""	"DHANRAJ SINGH"	""	"DR. MONAZIR HASSAN"	""	"RANDHIR SINGH"	""	"SANJAY YADAV"	""	"RAMDEO SINGH YADAV"	""	"LOK NATH KUSHWAHA"	""	"ASHOK KUMAR PODDAR"	"CHAND SHEKHAR"	"DEVAN YADAV"	"PRAKASH PASWAN"	"BABULAL PASWAN"	""	"OF VALID VOTES"	""	""	""
"11"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"
"12"	"1"	"46"	""	"197"	""	"3"	""	"20"	""	"2"	""	"5"	""	"3"	"9"	"5"	"4"	"2"	""	"296"	"0"	"296"	""
"13"	"1A"	"31"	""	"139"	""	"2"	""	"9"	""	"2"	""	"2"	""	"1"	"1"	"2"	"1"	"3"	""	"193"	"0"	"193"	""
"14"	"2"	"24"	""	"294"	""	"6"	""	"8"	""	"2"	""	"6"	""	"0"	"5"	"1"	"4"	"4"	""	"354"	"0"	"354"	""
"15"	"2A"	"46"	""	"132"	""	"1"	""	"1"	""	"0"	""	"6"	""	"1"	"4"	"1"	"2"	"2"	""	"196"	"0"	"196"	""
"16"	"3"	"75"	""	"229"	""	"1"	""	"12"	""	"3"	""	"6"	""	"0"	"8"	"0"	"1"	"8"	""	"343"	"0"	"343"	""
"17"	"4"	"52"	""	"368"	""	"3"	""	"3"	""	"1"	""	"5"	""	"4"	"15"	"16"	"2"	"2"	""	"471"	"0"	"471"	""
"18"	"5"	"19"	""	"121"	""	"0"	""	"44"	""	"1"	""	"3"	""	"1"	"7"	"1"	"3"	"4"	""	"204"	"0"	"204"	""
"19"	"6"	"67"	""	"234"	""	"8"	""	"115"	""	"5"	""	"4"	""	"4"	"11"	"5"	"7"	"6"	""	"466"	"0"	"466"	""
"20"	"7"	"113"	""	"273"	""	"2"	""	"19"	""	"2"	""	"3"	""	"4"	"8"	"3"	"4"	"3"	""	"434"	"0"	"434"	""
"21"	"8"	"168"	""	"218"	""	"5"	""	"13"	""	"3"	""	"3"	""	"3"	"7"	"5"	"4"	"4"	""	"433"	"0"	"433"	""
"22"	"9"	"152"	""	"188"	""	"6"	""	"14"	""	"1"	""	"4"	""	"1"	"12"	"8"	"1"	"9"	""	"396"	"0"	"396"	""
"23"	"10"	"206"	""	"201"	""	"4"	""	"12"	""	"2"	""	"6"	""	"6"	"5"	"4"	"5"	"4"	""	"455"	"0"	"455"	""
"24"	"11"	"31"	""	"399"	""	"6"	""	"5"	""	"6"	""	"12"	""	"2"	"14"	"3"	"4"	"10"	""	"492"	"0"	"492"	""
"25"	"12"	"45"	""	"333"	""	"10"	""	"2"	""	"10"	""	"5"	""	"2"	"6"	"0"	"2"	"3"	""	"418"	"0"	"418"	""
"26"	""	""	""	""	""	""	""	"."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"TOTAL"	"1075"	""	"3326"	""	"57"	""	"277"	""	"40"	""	"70"	""	"32"	"112"	"54"	"44"	"64"	""	"5151"	"0"	"5151"	""
"28"	"ROUND:- 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of                                                                                                                                              TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
