"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"6"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"8"	"1"	"4"	"50"	"197"	"208"	"5"	"7"	"5"	"9"	"485"	""	"485"	""
"9"	"2"	"12"	"30"	"36"	"277"	"6"	"9"	"8"	"10"	"388"	""	"388"	""
"10"	"2A"	"8"	"7"	"50"	"154"	"6"	"3"	"5"	"13"	"246"	""	"246"	""
"11"	"3"	"11"	"36"	"44"	"276"	"10"	"1"	"3"	"8"	"389"	""	"389"	""
"12"	"4"	"6"	"77"	"75"	"277"	"8"	"9"	"9"	"12"	"473"	""	"473"	""
"13"	"5"	"8"	"51"	"72"	"286"	"7"	"1"	"3"	"2"	"430"	""	"430"	""
"14"	"6"	"11"	"53"	"324"	"213"	"7"	"5"	"4"	"13"	"630"	""	"630"	""
"15"	"7"	"11"	"11"	"234"	"221"	"6"	"9"	"10"	"12"	"514"	""	"514"	""
"16"	"8"	"3"	"28"	"309"	"221"	"13"	"8"	"9"	"13"	"604"	""	"604"	""
"17"	"9"	"12"	"3"	"305"	"102"	"2"	"9"	"7"	"11"	"451"	""	"451"	""
"18"	"9A"	"15"	"5"	"138"	"182"	"9"	"5"	"2"	"10"	"366"	""	"366"	""
"19"	"10"	"24"	"14"	"243"	"349"	"10"	"5"	"9"	"15"	"669"	""	"669"	""
"20"	"11"	"17"	"13"	"274"	"173"	"12"	"8"	"6"	"8"	"511"	""	"511"	""
"21"	"12"	"10"	"21"	"371"	"195"	"4"	"4"	"5"	"8"	"618"	""	"618"	""
"22"	"Current Round Total"	"152"	"399"	"2672"	"3134"	"105"	"83"	"85"	"144"	"6774"	"0"	"6774"	"0"
"23"	"(Statutory Rules and Order)                                                      ROUND : SECOND"	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"29"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"31"	"13"	"17"	"9"	"293"	"163"	"9"	"1"	"3"	"19"	"514"	""	"514"	""
"32"	"14"	"5"	"10"	"179"	"251"	"12"	"5"	"3"	"11"	"476"	""	"476"	""
"33"	"14A"	"7"	"7"	"182"	"174"	"5"	"1"	"1"	"8"	"385"	""	"385"	""
"34"	"15"	"13"	"5"	"206"	"189"	"7"	"6"	"4"	"14"	"444"	""	"444"	""
"35"	"15A"	"6"	"12"	"97"	"175"	"12"	"6"	"12"	"13"	"333"	""	"333"	""
"36"	"16"	"18"	"15"	"401"	"89"	"3"	"12"	"0"	"7"	"545"	""	"545"	""
"37"	"17"	"6"	"10"	"314"	"126"	"13"	"14"	"8"	"19"	"510"	""	"510"	""
"38"	"18"	"7"	"6"	"350"	"92"	"4"	"2"	"3"	"4"	"468"	""	"468"	""
"39"	"19"	"0"	"10"	"342"	"135"	"7"	"7"	"5"	"12"	"518"	""	"518"	""
"40"	"20"	"18"	"6"	"486"	"82"	"1"	"3"	"3"	"7"	"606"	""	"606"	""
"41"	"21"	"13"	"6"	"278"	"152"	"6"	"10"	"11"	"12"	"488"	""	"488"	""
"42"	"21A"	"8"	"5"	"251"	"99"	"5"	"6"	"3"	"8"	"385"	""	"385"	""
"43"	"22"	"11"	"7"	"56"	"359"	"11"	"4"	"9"	"2"	"459"	""	"459"	""
"44"	"22A"	"17"	"4"	"75"	"338"	"11"	"2"	"4"	"5"	"456"	""	"456"	""
"45"	"Current Round Total"	"146"	"112"	"3510"	"2424"	"106"	"79"	"69"	"141"	"6587"	"0"	"6587"	"0"
"46"	"Previous Round Total"	"152"	"399"	"2672"	"3134"	"105"	"83"	"85"	"144"	"6774"	"0"	"6774"	"0"
"47"	"TOTAL"	"298"	"511"	"6182"	"5558"	"211"	"162"	"154"	"285"	"13361"	"0"	"13361"	"0"
"48"	"(Statutory Rules and Order)                                                      ROUND : THIRD"	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"54"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"55"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"56"	"23"	"10"	"3"	"545"	"148"	"6"	"5"	"3"	"10"	"730"	""	"730"	""
