"Total.No..of.Electors.in.Assembly.Constituency..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"7"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"8"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"9"	"Round - 1"	"1"	"110"	"4"	"10"	"77"	"1"	"1"	"1"	"2"	"136"	"342"	""	"342"	"0"
"10"	""	"2"	"181"	"8"	"27"	"78"	"5"	"3"	"1"	"1"	"36"	"340"	""	"340"	"0"
"11"	""	"3"	"126"	"10"	"19"	"10"	"5"	"5"	"8"	"12"	"275"	"470"	""	"470"	"0"
"12"	""	"4"	"33"	"8"	"6"	"27"	"1"	"2"	"3"	"7"	"307"	"394"	""	"394"	"0"
"13"	""	"5"	"103"	"9"	"8"	"9"	"2"	"6"	"7"	"9"	"231"	"384"	""	"384"	"0"
"14"	""	"6"	"106"	"4"	"12"	"34"	"4"	"6"	"5"	"9"	"257"	"437"	""	"437"	"0"
"15"	""	"7"	"30"	"6"	"20"	"8"	"5"	"3"	"4"	"6"	"226"	"308"	""	"308"	"0"
"16"	""	"8"	"38"	"8"	"9"	"17"	"6"	"9"	"8"	"14"	"380"	"489"	""	"489"	"0"
"17"	""	"9"	"137"	"11"	"45"	"5"	"8"	"7"	"7"	"7"	"96"	"323"	""	"323"	"0"
"18"	""	"9-A"	"161"	"8"	"37"	"5"	"2"	"3"	"7"	"3"	"96"	"322"	""	"322"	"0"
"19"	""	"10"	"29"	"8"	"13"	"7"	"3"	"4"	"2"	"6"	"307"	"379"	""	"379"	"0"
"20"	""	"11"	"160"	"19"	"14"	"76"	"2"	"4"	"10"	"11"	"122"	"418"	""	"418"	"0"
"21"	""	"12"	"108"	"14"	"7"	"8"	"3"	"11"	"7"	"145"	"153"	"456"	""	"456"	"0"
"22"	""	"13"	"81"	"5"	"6"	"8"	"4"	"1"	"4"	"6"	"312"	"427"	""	"427"	"0"
"23"	""	"Total"	"1403"	"122"	"233"	"369"	"51"	"65"	"74"	"238"	"2934"	"5489"	"0"	"5489"	"0"
"24"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"31"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"32"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"33"	"Round - 2"	"14"	"397"	"4"	"6"	"16"	"0"	"1"	"1"	"1"	"6"	"432"	""	"432"	"0"
"34"	""	"15"	"156"	"11"	"7"	"2"	"0"	"21"	"9"	"10"	"105"	"321"	""	"321"	"0"
"35"	""	"16"	"223"	"19"	"7"	"35"	"4"	"3"	"16"	"6"	"28"	"341"	""	"341"	"0"
"36"	""	"17"	"164"	"8"	"46"	"39"	"8"	"7"	"5"	"3"	"38"	"318"	""	"318"	"0"
"37"	""	"18"	"154"	"5"	"18"	"48"	"4"	"6"	"7"	"6"	"78"	"326"	""	"326"	"0"
"38"	""	"19"	"172"	"5"	"47"	"46"	"2"	"4"	"4"	"3"	"115"	"398"	""	"398"	"0"
"39"	""	"20"	"281"	"8"	"5"	"20"	"1"	"2"	"3"	"2"	"60"	"382"	""	"382"	"0"
