"ernku.dsUnz.dh.la..k"	"fuEufyf.kr.Ik.k.esa.fn..x.s.fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"dqy.fof.kekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonÙk.erksa.dh.la..k"
"1"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"3"	"1"	"56"	"178"	"61"	"368"	"9"	"9"	"6"	"687"	"0"	"687"	"0"
"4"	"2"	"13"	"205"	"94"	"199"	"1"	"4"	"5"	"521"	"0"	"521"	"0"
"5"	"3"	"46"	"42"	"148"	"191"	"1"	"2"	"3"	"433"	"0"	"433"	"0"
"6"	"3 d"	"30"	"147"	"22"	"143"	"2"	"5"	"4"	"353"	"0"	"353"	"0"
"7"	"4"	"35"	"234"	"97"	"298"	"9"	"6"	"13"	"692"	"0"	"692"	"0"
"8"	"5"	"139"	"207"	"172"	"352"	"5"	"8"	"10"	"893"	"0"	"893"	"0"
"9"	"6"	"40"	"121"	"182"	"144"	"6"	"5"	"12"	"510"	"0"	"510"	"0"
"10"	"7"	"4"	"62"	"199"	"281"	"2"	"1"	"1"	"550"	"0"	"550"	"0"
"11"	"8"	"2"	"18"	"189"	"390"	"0"	"0"	"2"	"601"	"0"	"601"	"0"
"12"	"9"	"10"	"25"	"168"	"122"	"1"	"3"	"9"	"338"	"0"	"338"	"0"
"13"	"10"	"140"	"88"	"199"	"208"	"2"	"3"	"8"	"648"	"0"	"648"	"0"
"14"	"11"	"137"	"157"	"43"	"341"	"17"	"13"	"21"	"729"	"0"	"729"	"0"
"15"	"12"	"29"	"186"	"66"	"266"	"8"	"5"	"6"	"566"	"0"	"566"	"0"
"16"	"13"	"131"	"284"	"140"	"154"	"4"	"6"	"9"	"728"	"0"	"728"	"0"
"17"	"14"	"74"	"174"	"48"	"224"	"7"	"7"	"12"	"546"	"0"	"546"	"0"
"18"	";ksx"	"886"	"2128"	"1828"	"3681"	"74"	"77"	"121"	"8795"	"0"	"8795"	"0"
"19"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"20"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"21"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"22"	"fiNys Ik`\"B
dk ;ksx"	"886"	"2128"	"1828"	"3681"	"74"	"77"	"121"	"8795"	"0"	"8795"	"0"
"23"	"15"	"47"	"244"	"85"	"201"	"6"	"16"	"10"	"609"	"0"	"609"	"0"
"24"	"16"	"39"	"94"	"300"	"227"	"11"	"5"	"14"	"690"	"0"	"690"	"0"
"25"	"17"	"88"	"17"	"19"	"244"	"0"	"0"	"0"	"368"	"0"	"368"	"0"
"26"	"17 d"	"26"	"4"	"44"	"232"	"2"	"0"	"3"	"311"	"0"	"311"	"0"
"27"	"18"	"103"	"89"	"35"	"297"	"8"	"10"	"17"	"559"	"0"	"559"	"0"
"28"	"19"	"40"	"117"	"147"	"354"	"6"	"3"	"5"	"672"	"0"	"672"	"0"
"29"	"20"	"12"	"36"	"134"	"117"	"6"	"2"	"9"	"316"	"0"	"316"	"0"
"30"	"21"	"36"	"219"	"30"	"253"	"2"	"5"	"7"	"552"	"0"	"552"	"0"
"31"	"22"	"56"	"121"	"49"	"176"	"4"	"4"	"10"	"420"	"0"	"420"	"0"
"32"	"23"	"26"	"130"	"210"	"300"	"9"	"2"	"7"	"684"	"0"	"684"	"0"
