"X..FORM.20...FINAL.RESULT.SHEET...See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.186.FATWA.ASSEMBLY.CONSTITUNECY.ROUND...1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-FATWA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial no. of polling station"	""	""	""	"i"	""	"j"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""	""
"4"	"1"	""	"43"	"416"	"23"	""	"53"	""	"38"	""	"4"	""	"9"	""	"3"	""	"3"	""	"11"	""	"8"	"611"	""	""	"0"	""	""	"611"	""	""	""	""	""	""	""	""
"5"	"2"	""	"6"	"284"	"15"	""	"18"	""	"32"	""	"4"	""	"0"	""	"1"	""	"3"	""	"6"	""	"4"	"373"	""	""	"0"	""	""	"373"	""	""	""	""	""	""	""	""
"6"	"3"	""	"14"	"107"	"24"	""	"66"	""	"123"	""	"6"	""	"10"	""	"5"	""	"1"	""	"7"	""	"7"	"370"	""	""	"0"	""	""	"370"	""	""	""	""	""	""	""	""
"7"	"4"	""	"12"	"331"	"16"	""	"22"	""	"33"	""	"8"	""	"4"	""	"1"	""	"4"	""	"20"	""	"9"	"460"	""	""	"0"	""	""	"460"	""	""	""	""	""	""	""	""
"8"	"5"	""	"23"	"57"	"95"	""	"252"	""	"164"	""	"9"	""	"10"	""	"4"	""	"10"	""	"8"	""	"16"	"648"	""	""	"0"	""	""	"648"	""	""	""	""	""	""	""	""
"9"	"6"	""	"9"	"48"	"33"	""	"196"	""	"147"	""	"15"	""	"3"	""	"10"	""	"8"	""	"4"	""	"6"	"479"	""	""	"0"	""	""	"479"	""	""	""	""	""	""	""	""
"10"	"7"	""	"5"	"12"	"19"	""	"220"	""	"153"	""	"8"	""	"4"	""	"6"	""	"4"	""	"4"	""	"4"	"439"	""	""	"0"	""	""	"439"	""	""	""	""	""	""	""	""
"11"	"8"	""	"8"	"1"	"61"	""	"64"	""	"208"	""	"3"	""	"4"	""	"1"	""	"6"	""	"0"	""	"4"	"360"	""	""	"0"	""	""	"360"	""	""	""	""	""	""	""	""
"12"	"9"	""	"15"	"63"	"8"	""	"134"	""	"103"	""	"8"	""	"7"	""	"8"	""	"2"	""	"2"	""	"4"	"354"	""	""	"0"	""	""	"354"	""	""	""	""	""	""	""	""
"13"	"10"	""	"10"	"110"	"21"	""	"90"	""	"108"	""	"2"	""	"5"	""	"1"	""	"3"	""	"8"	""	"12"	"370"	""	""	"0"	""	""	"370"	""	""	""	""	""	""	""	""
