"Sl.No..of.Polling.Station"	"Name.of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"3"	"1"	"e/; fo|ky; rsml mÙkj Hkkx"	"37"	"14"	"246"	"205"	"14"	"27"	"543"	""	"543"	""
"4"	"2"	"e/; fo|ky; rsml nf{k.k Hkkx"	"16"	"4"	"161"	"183"	"6"	"9"	"379"	""	"379"	""
"5"	"3"	"izkFkfed fo|ky; rsml gfjtu Vksyk"	"56"	"17"	"176"	"145"	"16"	"23"	"433"	""	"433"	""
"6"	"4"	"izkFkfed fo|ky; ujflagiqj ¼iw0 Hkkx½"	"24"	"1"	"32"	"270"	"5"	"7"	"339"	""	"339"	""
"7"	"4d"	"izkFkfed fo|ky; ujflagiqj ¼i0 Hkkx½"	"32"	"6"	"10"	"304"	"6"	"12"	"370"	""	"370"	""
"8"	"5"	"izkFkfed fo|ky; dk'khch?kk"	"14"	"7"	"37"	"424"	"14"	"11"	"507"	""	"507"	""
"9"	"6"	"izkFkfed fo|ky; lqHkkuiqj"	"53"	"19"	"197"	"206"	"6"	"11"	"492"	""	"492"	""
"10"	"7"	"izkFkfed fo|ky; dUgkSyh"	"43"	"20"	"142"	"69"	"7"	"14"	"295"	""	"295"	""
"11"	"8"	"izkFkfed fo|ky; txnh'kiqj ¼m0 Hkkx½"	"18"	"10"	"62"	"244"	"8"	"5"	"347"	""	"347"	""
"12"	"8d"	"izkFkfed fo|ky; txnh'kiqj ¼n0 Hkkx½"	"51"	"5"	"74"	"132"	"10"	"15"	"287"	""	"287"	""
"13"	"9"	"izkFkfed fo|ky;] m[knh ¼m0 Hkkx½"	"31"	"6"	"181"	"94"	"13"	"22"	"347"	""	"347"	""
"14"	"9d"	"izkFkfed fo|ky;] m[knh ¼n0 Hkkx½"	"172"	"18"	"81"	"54"	"7"	"33"	"365"	""	"365"	""
"15"	"10"	"izkFkfed fo|ky; ljS;k"	"42"	"10"	"99"	"239"	"14"	"11"	"415"	""	"415"	""
"16"	"11"	"izkFkfed fo|ky;] iqusljk"	"46"	"10"	"188"	"170"	"13"	"14"	"441"	""	"441"	""
"17"	"Total No. of votes recorded at Polling Stations"	""	"635"	"147"	"1686"	"2739"	"139"	"214"	"5560"	""	"5560"	""
"18"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"19"	"Total votes polled"	""	"635"	"147"	"1686"	"2739"	"139"	"214"	"5560"	""	"5560"	""
"20"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"22"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"23"	"12"	"e/; fo|ky; rks;"	"16"	"7"	"134"	"233"	"12"	"16"	"418"	""	"418"	""
"24"	"13"	"lkeqnkf;d Hkou rks; gfjtu Vksyk"	"27"	"7"	"147"	"218"	"10"	"17"	"426"	""	"426"	""
"25"	"14"	"e/; fo|ky; ik¡d"	"53"	"5"	"63"	"304"	"12"	"10"	"447"	""	"447"	""
"26"	"15"	"izkFkfed fo|ky; eqlkiqj"	"94"	"8"	"92"	"106"	"5"	"17"	"322"	""	"322"	""
"27"	"16"	"izkFkfed fo|ky; eduiqj Mhg"	"10"	"2"	"71"	"193"	"1"	"3"	"280"	""	"280"	""
"28"	"17"	"izkFkfed fo|ky; dkthQÙkqpd"	"79"	"11"	"101"	"124"	"16"	"28"	"359"	""	"359"	""
"29"	"18"	"izkFkfed fo|ky; feYdh pd ¼m0 Hkkx½"	"141"	"14"	"120"	"25"	"12"	"26"	"338"	""	"338"	""
"30"	"18 d"	"izkFkfed fo|ky; feYdh pd ¼n0 Hkkx½"	"101"	"16"	"111"	"30"	"6"	"11"	"275"	""	"275"	""
"31"	"19"	"izkFkfed fo|ky; Mhgfutker ¼m0 Hkkx½"	"30"	"2"	"67"	"157"	"8"	"10"	"274"	""	"274"	""
"32"	"19 d"	"izkFkfed fo|ky; Mhgfutker ¼n0 Hkkx½"	"16"	"1"	"88"	"101"	"6"	"12"	"224"	""	"224"	""
"33"	"20"	"e/; fo|ky; dsoVh ¼iw0 Hkkx½"	"37"	"17"	"161"	"114"	"7"	"6"	"342"	""	"342"	""
"34"	"20d"	"e/; fo|ky; dsoVh ¼i0 Hkkx½"	"8"	"5"	"129"	"71"	"4"	"5"	"222"	""	"222"	""
"35"	"21"	"izkFkfed fo|ky; xksMMhg"	"151"	"12"	"55"	"89"	"1"	"12"	"320"	""	"320"	""
"36"	"22"	"izkFkfed fo|ky; ?kjlsuh"	"27"	"14"	"121"	"346"	"15"	"20"	"543"	""	"543"	""
"37"	"Total No. of votes recorded at Polling Stations"	""	"790"	"121"	"1460"	"2111"	"115"	"193"	"4790"	""	"4790"	""
"38"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"39"	"Total votes polled"	""	"790"	"121"	"1460"	"2111"	"115"	"193"	"4790"	""	"4790"	""
"40"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"41"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"42"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"43"	"23"	"izkFkfed fo|ky; dqVkSr"	"23"	"6"	"138"	"143"	"10"	"27"	"347"	""	"347"	""
"44"	"24"	"izkFkfed fo|ky; vfg;kiqj"	"25"	"5"	"149"	"297"	"19"	"13"	"508"	""	"508"	""
"45"	"25"	"e/; fo|ky; dqls<+h ¼m0 Hkkx½"	"13"	"13"	"66"	"130"	"8"	"16"	"246"	""	"246"	""
"46"	"25d"	"e/; fo|ky; dqls<+h ¼n0 Hkkx½"	"18"	"5"	"68"	"160"	"7"	"16"	"274"	""	"274"	""
"47"	"26"	"izkFkfed fo|ky; HknjFkh"	"19"	"8"	"129"	"228"	"14"	"16"	"414"	""	"414"	""
"48"	"27"	"jktks flag mPp fo|ky; fiatM+h"	"42"	"11"	"173"	"349"	"3"	"3"	"581"	""	"581"	""
"49"	"28"	"izkFkfed fo|ky; fiatM+h"	"24"	"28"	"110"	"115"	"6"	"21"	"304"	""	"304"	""
"50"	"29"	"izkFkfed fo|ky; jtkSjk"	"82"	"11"	"38"	"167"	"10"	"22"	"330"	""	"330"	""
"51"	"30"	"lkeqnkf;d Hkou fetkZiqj"	"63"	"25"	"173"	"239"	"14"	"18"	"532"	""	"532"	""
"52"	"31"	"dU;k izkFkfed fo|ky; lokZ ¼iw0 Hkkx½"	"7"	"3"	"94"	"277"	"7"	"12"	"400"	""	"400"	""
"53"	"31d"	"dU;k izkFkfed fo|ky; lokZ ¼i0 Hkkx½"	"3"	"2"	"57"	"57"	"1"	"0"	"120"	""	"120"	""
"54"	"32"	"gfjtu lkeqnkf;d Hkou lokZ"	"12"	"4"	"31"	"104"	"3"	"9"	"163"	""	"163"	""
"55"	"32d"	"gfjtu lkeqnkf;d Hkou lokZ dk ojkenk"	"46"	"11"	"149"	"169"	"2"	"21"	"398"	""	"398"	""
"56"	"33"	"mPp fo|ky; ekyng ¼iw0 Hkkx½"	"18"	"5"	"144"	"175"	"1"	"9"	"352"	""	"352"	""
"57"	"Total No. of votes recorded at Polling Stations"	""	"395"	"137"	"1519"	"2610"	"105"	"203"	"4969"	""	"4969"	""
"58"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"59"	"Total votes polled"	""	"395"	"137"	"1519"	"2610"	"105"	"203"	"4969"	""	"4969"	""
"60"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"61"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"62"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"63"	"33d"	"mPp fo|ky; ekyng ¼e/; Hkkx½"	"2"	"8"	"113"	"126"	"6"	"0"	"255"	""	"255"	""
"64"	"34"	"e/; fo|ky; ekyng"	"23"	"11"	"199"	"158"	"15"	"17"	"423"	""	"423"	""
