"fo.kku.lHkk.fuokZpu..ks..esa.fuokZpdksa.dh.dqy.la..k......................................."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"
"1"	"fo/kku lHkk [kaM dk uke ¼lalnh; fuokZpu {ks= esa fuokZpu dh n’kk esa½--------------------------------"	""	""	""	""	""	""	""	""
"2"	"ernku
dsUnz dh Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	"dqy fof/kekU;
er"	"izfr{ksfir erksa
dh la[;k ;ksx"	"fufonu erksa
dh la[;k"
"3"	""	"vt; dqekj eaMy"	"fodkl dqekj eaMy"	"LknkUkUn flag"	"fldUnj   teky"	"ftrsUnz Ikzlkn ;kno"	""	""	""
"4"	"1"	"471"	"9"	"106"	"9"	"13"	""	""	""
"5"	"1d"	"153"	"4"	"5"	"0"	"5"	""	""	""
"6"	"2"	"312"	"3"	"10"	"3"	"6"	""	""	""
"7"	"3"	"584"	"11"	"32"	"16"	"9"	""	""	""
"8"	"4"	"552"	"5"	"182"	"13"	"3"	""	""	""
"9"	"5"	"283"	"7"	"49"	"5"	"19"	""	""	""
"10"	"5d"	"437"	"12"	"86"	"26"	"17"	""	""	""
"11"	"6"	"391"	"13"	"44"	"29"	"19"	""	""	""
"12"	"7"	"600"	"24"	"53"	"9"	"41"	""	""	""
"13"	"8"	"312"	"5"	"30"	"12"	"16"	""	""	""
"14"	"8d"	"328"	"3"	"33"	"6"	"5"	""	""	""
"15"	"9"	"198"	"11"	"192"	"23"	"20"	""	""	""
"16"	"10"	"649"	"10"	"22"	"38"	"15"	""	""	""
"17"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k---------------------------------------"	""	""	""	""	""	""	""	""
"18"	"fo/kku lHkk [kaM dk uke ¼lalnh; fuokZpu {ks= esa fuokZpu dh n’kk esa½--------------------------------"	""	""	""	""	""	""	""	""
"19"	"ernku
dsUnz dh Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	"dqy fof/kekU;
er"	"izfr{ksfir erksa
dh la[;k ;ksx"	"fufonu erksa
dh la[;k"
