"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE FROM 54-SAHEBGANJ  ASSEMBLY CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"TOTAL NO OF ELECTORS IN 54-SAHEBGANJ ASSEMBLY CONSTITUENCY                                                                                                   192609"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"NAME OF THE ASSEMBLY /SEGMENT- 54-SAHEBGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PS NO."	"RAJU KUMAR SINGH"	"RAM VICHAR RAI"	"HARI KISHORE SINGH"	"BADRI NARAYAN"	"YADAV LAL PATEL"	"RAJ KISHOR RAM"	"SHASHI BHUSHAN KASHYAP"	"SHASHI BHUSHAN TIWARI"	"SHIV CHARAN RAM"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"6"	"1"	"346"	"110"	"7"	"6"	"4"	"1"	"1"	"4"	"18"	"497"	""	"497"	""	""
"7"	"2"	"239"	"130"	"26"	"5"	"9"	"4"	"7"	"9"	"31"	"460"	""	"460"	""	""
"8"	"3"	"197"	"325"	"17"	"6"	"0"	"5"	"4"	"11"	"34"	"599"	""	"599"	""	""
"9"	"4"	"67"	"282"	"10"	"2"	"1"	"1"	"2"	"3"	"10"	"378"	""	"378"	""	""
"10"	"5"	"268"	"165"	"18"	"8"	"2"	"1"	"4"	"8"	"11"	"485"	""	"485"	""	""
"11"	"6"	"216"	"180"	"6"	"2"	"1"	"1"	"2"	"6"	"10"	"424"	""	"424"	""	""
"12"	"7"	"223"	"369"	"25"	"11"	"3"	"1"	"8"	"9"	"29"	"678"	""	"678"	""	""
"13"	"8"	"259"	"325"	"31"	"9"	"2"	"2"	"5"	"3"	"9"	"645"	""	"645"	""	""
"14"	"9"	"217"	"239"	"16"	"8"	"4"	"3"	"4"	"10"	"36"	"537"	""	"537"	""	""
"15"	"10"	"373"	"106"	"6"	"2"	"5"	"3"	"7"	"3"	"14"	"519"	""	"519"	""	""
"16"	"11"	"246"	"147"	"9"	"2"	"4"	"2"	"1"	"3"	"7"	"421"	""	"421"	""	""
"17"	"12"	"249"	"103"	"8"	"6"	"0"	"3"	"3"	"4"	"29"	"405"	""	"405"	""	""
"18"	"13"	"412"	"131"	"8"	"4"	"2"	"3"	"2"	"5"	"22"	"589"	""	"589"	""	""
"19"	"14"	"396"	"98"	"7"	"1"	"0"	"0"	"1"	"7"	"18"	"528"	""	"528"	""	""
"20"	"15"	"434"	"224"	"12"	"1"	"4"	"1"	"5"	"3"	"18"	"702"	""	"702"	""	""
"21"	"16"	"212"	"148"	"8"	"5"	"2"	"1"	"3"	"3"	"15"	"397"	""	"397"	""	""
"22"	"17"	"329"	"87"	"8"	"3"	"7"	"2"	"3"	"7"	"24"	"470"	""	"470"	""	""
"23"	"18"	"294"	"199"	"60"	"11"	"7"	"4"	"3"	"13"	"28"	"619"	""	"619"	""	""
"24"	"19"	"495"	"92"	"20"	"7"	"44"	"6"	"3"	"4"	"14"	"685"	""	"685"	""	""
"25"	"20"	"390"	"91"	"6"	"4"	"21"	"5"	"0"	"5"	"26"	"548"	""	"548"	""	""
"26"	"21"	"298"	"192"	"22"	"6"	"3"	"7"	"4"	"23"	"61"	"616"	""	"616"	""	""
"27"	"22"	"208"	"186"	"11"	"4"	"2"	"3"	"2"	"5"	"9"	"430"	""	"430"	""	""
"28"	"23"	"149"	"107"	"8"	"2"	"1"	"0"	"0"	"3"	"10"	"280"	""	"280"	""	""
"29"	"24"	"230"	"142"	"8"	"3"	"1"	"4"	"2"	"5"	"24"	"419"	""	"419"	""	""
"30"	"25"	"189"	"197"	"44"	"5"	"7"	"0"	"5"	"5"	"19"	"471"	""	"471"	""	""
"31"	"26"	"132"	"31"	"7"	"0"	"5"	"3"	"4"	"6"	"24"	"212"	""	"212"	""	""
"32"	"27"	"99"	"273"	"15"	"1"	"6"	"3"	"4"	"2"	"2"	"405"	""	"405"	""	""
"33"	"27A"	"153"	"141"	"5"	"0"	"0"	"0"	"1"	"7"	"9"	"316"	""	"316"	""	""
"34"	"28"	"321"	"149"	"20"	"10"	"5"	"4"	"5"	"2"	"17"	"533"	""	"533"	""	""
"35"	"29"	"142"	"312"	"27"	"4"	"6"	"1"	"4"	"4"	"7"	"507"	""	"507"	""	""
"36"	"PS NO."	"RAJU KUMAR SINGH"	"RAM VICHAR RAI"	"HARI KISHORE SINGH"	"BADRI NARAYAN"	"YADAV LAL PATEL"	"RAJ KISHOR RAM"	"SHASHI BHUSHAN KASHYAP"	"SHASHI BHUSHAN TIWARI"	"SHIV CHARAN RAM"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"37"	"30"	"265"	"205"	"7"	"6"	"3"	"3"	"6"	"7"	"24"	"526"	""	"526"	""	""
"38"	"31"	"125"	"295"	"27"	"13"	"3"	"7"	"3"	"5"	"20"	"498"	""	"498"	""	""
"39"	"32"	"40"	"472"	"24"	"11"	"4"	"4"	"4"	"14"	"8"	"581"	""	"581"	""	""
"40"	"33"	"40"	"516"	"27"	"14"	"7"	"7"	"11"	"14"	"19"	"655"	""	"655"	""	""
"41"	"34"	"187"	"468"	"34"	"5"	"3"	"3"	"5"	"5"	"11"	"721"	""	"721"	""	""
"42"	"35"	"200"	"227"	"7"	"6"	"2"	"2"	"2"	"4"	"6"	"456"	""	"456"	""	""
"43"	"36"	"215"	"88"	"5"	"7"	"3"	"1"	"4"	"4"	"18"	"345"	""	"345"	""	""
"44"	"37"	"44"	"171"	"11"	"9"	"11"	"4"	"5"	"16"	"23"	"294"	""	"294"	""	""
"45"	"38"	"116"	"87"	"33"	"11"	"3"	"3"	"1"	"9"	"22"	"285"	""	"285"	""	""
"46"	"39"	"258"	"98"	"7"	"5"	"7"	"2"	"5"	"13"	"13"	"408"	""	"408"	""	""
"47"	"39A"	"149"	"103"	"6"	"2"	"2"	"0"	"2"	"0"	"3"	"267"	""	"267"	""	""
"48"	"40"	"196"	"171"	"9"	"3"	"3"	"4"	"1"	"3"	"11"	"401"	""	"401"	""	""
"49"	"41"	"192"	"117"	"6"	"3"	"1"	"3"	"2"	"11"	"18"	"353"	""	"353"	""	""
"50"	"42"	"40"	"237"	"13"	"4"	"0"	"0"	"1"	"10"	"2"	"307"	""	"307"	""	""
"51"	"43"	"78"	"373"	"18"	"10"	"6"	"2"	"5"	"10"	"15"	"517"	""	"517"	""	""
"52"	"44"	"196"	"202"	"9"	"7"	"7"	"2"	"3"	"5"	"7"	"438"	""	"438"	""	""
"53"	"45"	"238"	"148"	"13"	"3"	"2"	"2"	"2"	"12"	"34"	"454"	""	"454"	""	""
"54"	"46"	"377"	"134"	"23"	"10"	"8"	"8"	"7"	"16"	"56"	"639"	""	"639"	""	""
"55"	"47"	"269"	"163"	"15"	"3"	"6"	"2"	"3"	"6"	"19"	"486"	""	"486"	""	""
