"Total.No..of.Electors.in.Assembly.Constituency...188104"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"7"	"1"	"29"	"195"	"100"	"6"	"33"	"4"	"4"	"371"	"0"	"371"	"0"	""
"8"	"2"	"41"	"201"	"136"	"4"	"98"	"5"	"5"	"490"	"0"	"490"	"0"	""
"9"	"3"	"18"	"182"	"96"	"6"	"65"	"4"	"3"	"374"	"0"	"374"	"0"	""
"10"	"4"	"167"	"155"	"118"	"21"	"102"	"12"	"11"	"586"	"0"	"586"	"0"	""
"11"	"5"	"57"	"267"	"80"	"8"	"72"	"9"	"11"	"504"	"0"	"504"	"0"	""
"12"	"6"	"47"	"53"	"198"	"23"	"125"	"6"	"11"	"463"	"0"	"463"	"0"	""
"13"	"7"	"140"	"17"	"129"	"10"	"45"	"5"	"17"	"363"	"0"	"363"	"0"	""
"14"	"8"	"129"	"8"	"236"	"14"	"132"	"9"	"15"	"543"	"0"	"543"	"0"	""
"15"	"9"	"67"	"84"	"147"	"12"	"189"	"2"	"0"	"501"	"0"	"501"	"0"	""
"16"	"10"	"25"	"36"	"81"	"20"	"299"	"8"	"10"	"479"	"0"	"479"	"0"	""
"17"	"11"	"59"	"19"	"99"	"13"	"259"	"8"	"9"	"466"	"0"	"466"	"0"	""
"18"	"12"	"28"	"99"	"63"	"9"	"261"	"6"	"8"	"474"	"0"	"474"	"0"	""
"19"	"13"	"11"	"65"	"141"	"22"	"94"	"1"	"1"	"335"	"0"	"335"	"0"	""
"20"	"14"	"34"	"160"	"155"	"15"	"128"	"8"	"4"	"504"	"0"	"504"	"0"	""
"21"	"Total"	"852"	"1541"	"1779"	"183"	"1902"	"87"	"109"	"6453"	"0"	"6453"	"0"	""
"22"	"Total No. of Electors in Assembly Constituency - 188104"	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
