"Total.No..of.Electors.in.Assembly.Constituency...200284"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"7"	"1"	"23"	"353"	"70"	"19"	"9"	"8"	"12"	"14"	"4"	"1"	"6"	"7"	"12"	"538"	"0"	"538"	"0"	""
"8"	"2"	"20"	"383"	"49"	"12"	"8"	"3"	"9"	"12"	"9"	"5"	"8"	"13"	"10"	"541"	"0"	"541"	"0"	""
"9"	"3"	"27"	"202"	"16"	"8"	"5"	"4"	"7"	"9"	"13"	"11"	"5"	"14"	"59"	"380"	"0"	"380"	"0"	""
"10"	"4"	"30"	"140"	"45"	"8"	"7"	"15"	"2"	"4"	"11"	"7"	"6"	"8"	"52"	"335"	"0"	"335"	"0"	""
"11"	"5"	"19"	"198"	"8"	"8"	"0"	"5"	"4"	"11"	"3"	"6"	"5"	"19"	"223"	"509"	"0"	"509"	"0"	""
"12"	"5A"	"15"	"72"	"9"	"5"	"2"	"3"	"1"	"2"	"5"	"3"	"4"	"12"	"165"	"298"	"0"	"298"	"0"	""
"13"	"6"	"23"	"263"	"41"	"15"	"6"	"2"	"4"	"4"	"2"	"2"	"3"	"5"	"47"	"417"	"0"	"417"	"0"	""
"14"	"7"	"35"	"288"	"50"	"15"	"18"	"6"	"9"	"11"	"3"	"1"	"9"	"6"	"14"	"465"	"0"	"465"	"0"	""
"15"	"8"	"3"	"175"	"36"	"3"	"5"	"2"	"4"	"6"	"4"	"7"	"17"	"11"	"152"	"425"	"0"	"425"	"0"	""
"16"	"9"	"11"	"300"	"46"	"10"	"4"	"1"	"9"	"7"	"16"	"3"	"6"	"12"	"33"	"458"	"0"	"458"	"0"	""
"17"	"9A"	"7"	"192"	"32"	"9"	"5"	"3"	"5"	"3"	"5"	"12"	"8"	"18"	"65"	"364"	"0"	"364"	"0"	""
"18"	"10"	"14"	"192"	"20"	"22"	"9"	"3"	"8"	"27"	"4"	"7"	"3"	"7"	"13"	"329"	"0"	"329"	"0"	""
"19"	"11"	"13"	"283"	"91"	"93"	"13"	"5"	"3"	"3"	"3"	"4"	"4"	"6"	"28"	"549"	"0"	"549"	"0"	""
"20"	"12"	"16"	"358"	"73"	"42"	"8"	"2"	"6"	"6"	"3"	"2"	"3"	"6"	"9"	"534"	"0"	"534"	"0"	""
"21"	"Total"	"256"	"3399"	"586"	"269"	"99"	"62"	"83"	"119"	"85"	"71"	"87"	"144"	"882"	"6142"	"0"	"6142"	"0"	""
"22"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"28"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"29"	"13"	"38"	"127"	"126"	"50"	"9"	"8"	"4"	"2"	"4"	"3"	"1"	"5"	"5"	"382"	"0"	"382"	"0"	""
"30"	"14"	"9"	"226"	"21"	"41"	"9"	"3"	"1"	"6"	"6"	"0"	"2"	"1"	"11"	"336"	"0"	"336"	"0"	""
"31"	"15"	"6"	"165"	"45"	"7"	"6"	"0"	"4"	"4"	"1"	"5"	"0"	"2"	"3"	"248"	"0"	"248"	"0"	""
"32"	"16"	"17"	"289"	"156"	"91"	"7"	"4"	"13"	"8"	"7"	"3"	"7"	"11"	"23"	"636"	"0"	"636"	"0"	""
"33"	"17"	"67"	"305"	"90"	"113"	"14"	"14"	"15"	"6"	"66"	"9"	"9"	"13"	"13"	"734"	"0"	"734"	"0"	""
"34"	"18"	"17"	"291"	"93"	"104"	"26"	"5"	"10"	"11"	"10"	"1"	"6"	"3"	"34"	"611"	"0"	"611"	"0"	""
"35"	"19"	"25"	"191"	"82"	"130"	"9"	"1"	"4"	"4"	"6"	"4"	"3"	"6"	"6"	"471"	"0"	"471"	"0"	""
"36"	"20"	"11"	"302"	"18"	"67"	"4"	"1"	"5"	"2"	"3"	"0"	"1"	"4"	"26"	"444"	"0"	"444"	"0"	""
"37"	"21"	"61"	"166"	"56"	"265"	"16"	"20"	"6"	"5"	"13"	"2"	"5"	"6"	"9"	"630"	"0"	"630"	"0"	""
"38"	"22"	"36"	"343"	"24"	"117"	"7"	"8"	"4"	"4"	"1"	"3"	"0"	"5"	"5"	"557"	"0"	"557"	"0"	""
"39"	"23"	"62"	"268"	"34"	"292"	"10"	"11"	"16"	"6"	"9"	"1"	"2"	"3"	"9"	"723"	"0"	"723"	"0"	""
"40"	"24"	"9"	"126"	"25"	"69"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"235"	"0"	"235"	"0"	""
"41"	"25"	"7"	"31"	"1"	"414"	"15"	"2"	"0"	"3"	"4"	"10"	"4"	"3"	"16"	"510"	"0"	"510"	"0"	""
"42"	"25A"	"50"	"84"	"12"	"289"	"5"	"4"	"0"	"3"	"2"	"3"	"1"	"2"	"7"	"462"	"0"	"462"	"0"	""
"43"	"Total"	"415"	"2914"	"783"	"2049"	"139"	"82"	"83"	"64"	"132"	"44"	"41"	"64"	"169"	"6979"	"0"	"6979"	"0"	""
"44"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"50"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"51"	"26"	"102"	"127"	"12"	"344"	"3"	"3"	"6"	"2"	"6"	"4"	"2"	"3"	"10"	"624"	"0"	"624"	"0"	""
"52"	"27"	"10"	"197"	"24"	"159"	"11"	"5"	"3"	"6"	"3"	"3"	"4"	"6"	"7"	"438"	"0"	"438"	"0"	""
"53"	"28"	"6"	"34"	"53"	"366"	"3"	"2"	"6"	"4"	"5"	"2"	"1"	"3"	"9"	"494"	"0"	"494"	"0"	""
"54"	"29"	"19"	"47"	"6"	"315"	"3"	"4"	"2"	"2"	"1"	"5"	"1"	"3"	"9"	"417"	"0"	"417"	"0"	""
"55"	"30"	"8"	"162"	"37"	"154"	"4"	"3"	"3"	"5"	"4"	"3"	"0"	"1"	"2"	"386"	"0"	"386"	"0"	""
"56"	"30A"	"17"	"104"	"74"	"84"	"2"	"6"	"8"	"2"	"5"	"5"	"1"	"4"	"5"	"317"	"0"	"317"	"0"	""
"57"	"31"	"20"	"228"	"91"	"115"	"15"	"4"	"10"	"9"	"3"	"6"	"1"	"8"	"13"	"523"	"0"	"523"	"0"	""
"58"	"31A"	"9"	"92"	"99"	"91"	"5"	"6"	"6"	"7"	"2"	"4"	"0"	"1"	"4"	"326"	"0"	"326"	"0"	""
"59"	"32"	"7"	"68"	"5"	"170"	"4"	"2"	"5"	"7"	"2"	"1"	"2"	"1"	"6"	"280"	"0"	"280"	"0"	""
"60"	"33"	"11"	"107"	"25"	"86"	"5"	"2"	"3"	"6"	"6"	"10"	"6"	"10"	"117"	"394"	"0"	"394"	"0"	""
"61"	"34"	"16"	"143"	"73"	"80"	"6"	"3"	"5"	"3"	"1"	"2"	"2"	"4"	"5"	"343"	"0"	"343"	"0"	""
"62"	"34A"	"8"	"39"	"95"	"110"	"4"	"1"	"6"	"5"	"5"	"2"	"2"	"2"	"8"	"287"	"0"	"287"	"0"	""
