"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of Electors in Assembly Constituency/Segmen   205207"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Name of the Assembly/Segment                                      205-Piro"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	""	""	"TRIVENI SINGH"	"DINESHER RAM"	"NARENDRA KUMAR
PANDEY"	"PRAVIN KUMAR
SINGH"	"VRIJENDRA SINGH
YADAV"	"RAGHUPATI GOPE"	"SHATRUJAY PANDEY"	"AJIT RAY"	"CHITRANJAN PASWAN"	"JAWAHAR RAI"	"DASRATH RAM"	"BAIJNATH UPADHAYAY"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"10"	"Serial No. of Polling Station"	""	"RJD"	"CPI(ML)(L)"	"JD(U)"	"LJSP"	"BSP"	"SP"	"SAP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"11"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"12"	"1"	"ANJUMAN MADARSA, BAINA"	"135"	"85"	"189"	"60"	"2"	"5"	"0"	"2"	"2"	"1"	"3"	"5"	"489"	"0"	"489"	"0"
"13"	"2"	"PRIMARY SCHOOL EYAR MUSAHAR TOLI"	"95"	"59"	"201"	"16"	"0"	"9"	"3"	"0"	"1"	"3"	"2"	"4"	"393"	"0"	"393"	"0"
"14"	"3"	"PRIMARY SCHOOL KARWANIA"	"148"	"14"	"130"	"2"	"6"	"1"	"0"	"0"	"2"	"0"	"1"	"2"	"306"	"0"	"306"	"0"
"15"	"4"	"PRIMARY SCHOOL EYAR"	"45"	"157"	"97"	"54"	"2"	"0"	"4"	"6"	"2"	"7"	"9"	"17"	"400"	"0"	"400"	"0"
"16"	"5"	"PRIMARY SCHOOL KUKURAHAN"	"95"	"19"	"103"	"8"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"229"	"0"	"229"	"0"
"17"	"6"	"PRIMARY SCHOOL FARAURA"	"119"	"160"	"187"	"10"	"7"	"1"	"1"	"3"	"2"	"3"	"10"	"23"	"526"	"0"	"526"	"0"
"18"	"7"	"PRIMARY SCHOOL LOHAI"	"163"	"60"	"115"	"65"	"1"	"0"	"2"	"5"	"6"	"4"	"9"	"11"	"441"	"0"	"441"	"0"
"19"	"8"	"PRIMARY SCHOOL KHIRIKON"	"258"	"19"	"184"	"37"	"4"	"2"	"1"	"3"	"2"	"2"	"1"	"15"	"528"	"0"	"528"	"0"
