"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"Name of the Assembly Constituency : - 101 Singhia (SC)"	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)] PART I"	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	"Total  valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"6"	""	""	"Dr. Ashok Kumar"	"Jai Prakash Narayan Paswan"	"Ram Sewak Hazari"	"Binod Bharti"	"Ram Bahadur Bharti"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"9"	"10"	"11"	"12"
"8"	"1"	"1"	"154"	"16"	"109"	"5"	"11"	"295"	"-"	"295"	""
"9"	"2"	"2"	"217"	"58"	"196"	"27"	"51"	"549"	"-"	"549"	""
"10"	"3"	"3"	"255"	"149"	"17"	"8"	"8"	"437"	"-"	"437"	""
"11"	"4"	"3A"	"88"	"37"	"15"	"6"	"6"	"152"	"-"	"152"	""
"12"	"5"	"4"	"90"	"185"	"30"	"14"	"16"	"335"	"-"	"335"	""
"13"	"6"	"4A"	"87"	"76"	"11"	"4"	"13"	"191"	"-"	"191"	""
"14"	"7"	"5"	"317"	"30"	"71"	"9"	"25"	"452"	"-"	"452"	""
"15"	"8"	"6"	"177"	"38"	"89"	"15"	"17"	"336"	"-"	"336"	""
"16"	"9"	"7"	"148"	"68"	"57"	"5"	"24"	"302"	"-"	"302"	""
"17"	"10"	"7A"	"99"	"161"	"80"	"15"	"23"	"378"	"-"	"378"	""
"18"	"11"	"8"	"212"	"45"	"51"	"16"	"23"	"347"	"-"	"347"	""
"19"	"12"	"9"	"187"	"164"	"206"	"15"	"25"	"597"	"-"	"597"	""
"20"	"13"	"10"	"209"	"61"	"75"	"17"	"27"	"389"	"-"	"389"	""
"21"	"14"	"11"	"215"	"74"	"100"	"13"	"30"	"432"	"-"	"432"	""
"22"	"15"	"12"	"222"	"53"	"186"	"12"	"30"	"503"	"-"	"503"	""
"23"	"16"	"13"	"101"	"194"	"149"	"9"	"19"	"472"	"-"	"472"	""
"24"	"17"	"14"	"54"	"15"	"280"	"22"	"17"	"388"	"-"	"388"	""
"25"	"18"	"14A"	"20"	"25"	"266"	"18"	"24"	"353"	"-"	"353"	""
"26"	"19"	"15"	"183"	"63"	"205"	"13"	"34"	"498"	"-"	"498"	""
"27"	"20"	"16"	"44"	"175"	"114"	"17"	"29"	"379"	"-"	"379"	""
"28"	"21"	"17"	"79"	"232"	"77"	"17"	"39"	"444"	"-"	"444"	""
"29"	"22"	"18"	"172"	"87"	"41"	"28"	"39"	"367"	"-"	"367"	""
"30"	"23"	"19"	"163"	"65"	"113"	"15"	"33"	"389"	"-"	"389"	""
"31"	"24"	"19A"	"76"	"132"	"99"	"6"	"6"	"319"	"-"	"319"	""
"32"	"25"	"20"	"53"	"108"	"128"	"18"	"15"	"322"	"-"	"322"	""
"33"	"26"	"20A"	"116"	"140"	"79"	"15"	"22"	"372"	"-"	"372"	""
"34"	"27"	"21"	"189"	"68"	"29"	"4"	"19"	"309"	"-"	"309"	""
"35"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	"Total  valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"36"	""	""	"Dr. Ashok Kumar"	"Jai Prakash Narayan Paswan"	"Ram Sewak Hazari"	"Binod Bharti"	"Ram Bahadur Bharti"	""	""	""	""
"37"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"9"	"10"	"11"	"12"
"38"	"28"	"22"	"451"	"26"	"19"	"22"	"34"	"552"	"-"	"552"	""
"39"	"29"	"23"	"138"	"79"	"8"	"2"	"2"	"229"	"-"	"229"	""
"40"	"30"	"23A"	"201"	"96"	"85"	"14"	"17"	"413"	"-"	"413"	""
"41"	"31"	"24"	"146"	"76"	"291"	"43"	"31"	"587"	"-"	"587"	""
"42"	"32"	"25"	"132"	"173"	"163"	"22"	"53"	"543"	"-"	"543"	""
"43"	"33"	"26"	"92"	"43"	"159"	"17"	"21"	"332"	"-"	"332"	""
"44"	"34"	"27"	"114"	"33"	"258"	"28"	"31"	"464"	"-"	"464"	""
"45"	"35"	"28"	"198"	"49"	"289"	"38"	"42"	"616"	"-"	"616"	""
"46"	"36"	"29"	"44"	"115"	"96"	"8"	"8"	"271"	"-"	"271"	""
"47"	"37"	"29A"	"122"	"65"	"71"	"7"	"7"	"272"	"-"	"272"	""
"48"	"38"	"30"	"244"	"87"	"106"	"23"	"24"	"484"	"-"	"484"	""
"49"	"39"	"31"	"208"	"27"	"123"	"15"	"13"	"386"	"-"	"386"	""
"50"	"40"	"32"	"160"	"73"	"35"	"6"	"7"	"281"	"-"	"281"	""
"51"	"41"	"33"	"213"	"44"	"103"	"24"	"42"	"426"	"-"	"426"	""
"52"	"42"	"34"	"150"	"17"	"72"	"9"	"10"	"258"	"-"	"258"	""
"53"	"43"	"35"	"106"	"45"	"131"	"11"	"17"	"310"	"-"	"310"	""
"54"	"44"	"36"	"208"	"57"	"61"	"12"	"15"	"353"	"-"	"353"	""
"55"	"45"	"37"	"82"	"92"	"172"	"15"	"14"	"375"	"-"	"375"	""
"56"	"46"	"38"	"243"	"48"	"129"	"14"	"17"	"451"	"-"	"451"	""
"57"	"47"	"39"	"68"	"291"	"32"	"8"	"6"	"405"	"-"	"405"	""
"58"	"48"	"40"	"70"	"120"	"70"	"9"	"10"	"279"	"-"	"279"	""
"59"	"49"	"40A"	"70"	"176"	"21"	"1"	"6"	"274"	"-"	"274"	""
"60"	"50"	"41"	"95"	"223"	"113"	"13"	"6"	"450"	"-"	"450"	""
"61"	"51"	"42"	"156"	"77"	"222"	"21"	"24"	"500"	"-"	"500"	""
"62"	"52"	"43"	"104"	"103"	"153"	"17"	"24"	"401"	"-"	"401"	""
"63"	"53"	"44"	"29"	"11"	"278"	"20"	"12"	"350"	"-"	"350"	""
"64"	"54"	"45"	"72"	"160"	"190"	"23"	"36"	"481"	"-"	"481"	""
"65"	"55"	"46"	"316"	"23"	"123"	"16"	"16"	"494"	"-"	"494"	""
"66"	"56"	"47"	"273"	"25"	"129"	"22"	"42"	"491"	"-"	"491"	""
"67"	"57"	"48"	"212"	"98"	"45"	"16"	"21"	"392"	"-"	"392"	""
"68"	"58"	"48A"	"79"	"8"	"10"	"4"	"13"	"114"	"-"	"114"	""
"69"	"59"	"49"	"109"	"204"	"42"	"9"	"5"	"369"	"-"	"369"	""
"70"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	"Total  valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"71"	""	""	"Dr. Ashok Kumar"	"Jai Prakash Narayan Paswan"	"Ram Sewak Hazari"	"Binod Bharti"	"Ram Bahadur Bharti"	""	""	""	""
"72"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"9"	"10"	"11"	"12"
"73"	"60"	"49A"	"79"	"90"	"12"	"8"	"2"	"191"	"-"	"191"	""
"74"	"61"	"50"	"64"	"193"	"49"	"8"	"10"	"324"	"-"	"324"	""
"75"	"62"	"51"	"40"	"17"	"152"	"14"	"16"	"239"	"-"	"239"	""
"76"	"63"	"51A"	"91"	"68"	"42"	"8"	"11"	"220"	"-"	"220"	""
"77"	"64"	"52"	"44"	"32"	"138"	"8"	"4"	"226"	"-"	"226"	""
"78"	"65"	"53"	"84"	"137"	"21"	"13"	"14"	"269"	"-"	"269"	""
"79"	"66"	"53A"	"83"	"71"	"110"	"11"	"9"	"284"	"-"	"284"	""
"80"	"67"	"54"	"265"	"44"	"95"	"31"	"52"	"487"	"-"	"487"	""
"81"	"68"	"55"	"182"	"16"	"75"	"9"	"21"	"303"	"-"	"303"	""
"82"	"69"	"56"	"161"	"23"	"309"	"36"	"33"	"562"	"-"	"562"	""
"83"	"70"	"57"	"197"	"47"	"167"	"14"	"16"	"441"	"-"	"441"	""
"84"	"71"	"58"	"139"	"84"	"64"	"6"	"12"	"305"	"-"	"305"	""
"85"	"72"	"58A"	"63"	"165"	"75"	"7"	"9"	"319"	"-"	"319"	""
"86"	"73"	"59"	"97"	"170"	"120"	"21"	"35"	"443"	"-"	"443"	""
"87"	"74"	"60"	"99"	"91"	"161"	"19"	"9"	"379"	"-"	"379"	""
"88"	"75"	"61"	"43"	"20"	"237"	"19"	"24"	"343"	"-"	"343"	""
"89"	"76"	"62"	"139"	"45"	"151"	"36"	"75"	"446"	"-"	"446"	""
"90"	"77"	"63"	"222"	"22"	"25"	"31"	"32"	"332"	"-"	"332"	""
"91"	"78"	"63A"	"224"	"26"	"35"	"19"	"15"	"319"	"-"	"319"	""
"92"	"79"	"64"	"87"	"6"	"155"	"12"	"12"	"272"	"-"	"272"	""
"93"	"80"	"65"	"367"	"32"	"149"	"17"	"33"	"598"	"-"	"598"	""
"94"	"81"	"66"	"136"	"59"	"245"	"33"	"31"	"504"	"-"	"504"	""
"95"	"82"	"67"	"166"	"16"	"86"	"11"	"22"	"301"	"-"	"301"	""
"96"	"83"	"67A"	"60"	"42"	"31"	"12"	"11"	"156"	"-"	"156"	""
"97"	"84"	"68"	"87"	"58"	"198"	"19"	"32"	"394"	"-"	"394"	""
"98"	"85"	"69"	"218"	"92"	"89"	"15"	"20"	"434"	"-"	"434"	""
"99"	"86"	"70"	"95"	"172"	"185"	"30"	"41"	"523"	"-"	"523"	""
"100"	"87"	"71"	"88"	"106"	"84"	"24"	"25"	"327"	"-"	"327"	""
"101"	"88"	"72"	"119"	"113"	"56"	"34"	"42"	"364"	"-"	"364"	""
"102"	"89"	"73"	"142"	"84"	"189"	"14"	"39"	"468"	"-"	"468"	""
"103"	"90"	"74"	"220"	"33"	"91"	"26"	"42"	"412"	"-"	"412"	""
"104"	"91"	"75"	"123"	"25"	"82"	"8"	"27"	"265"	"-"	"265"	""
"105"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	"Total  valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"106"	""	""	"Dr. Ashok Kumar"	"Jai Prakash Narayan Paswan"	"Ram Sewak Hazari"	"Binod Bharti"	"Ram Bahadur Bharti"	""	""	""	""
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"9"	"10"	"11"	"12"
"108"	"92"	"76"	"119"	"56"	"28"	"8"	"22"	"233"	"-"	"233"	""
