"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""
"2"	"ELECTION TO THE LEGISLATIVE ASSEMBLY FROM 166-ALLAULI (S.C.) ASSEMBLY CONSTITUENCY PART-1"	""	""	""	""	""	""	""
"3"	"(To be used both for parliamentary and assembly Election)"	""	""	""	""	""	""	""
"4"	"Total No. of Elector in Assembly Constituency/Segment: 191306"	""	""	""	""	""	""	""
"5"	"No. and Name of the Assembly/segment- 166-ALLAULI (S.C.) ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""
"6"	"(in the Case of Election from a Parliamentary Constituency)                                                                           Round No.- 1"	""	""	""	""	""	""	""
"7"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"8"	""	"PASHUPATI KUMAR PARAS (LJP)"	"RAJ KUMARI (JD(U))"	"RAMBRIKSHA SADA (RJD)"	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"10"	"1"	"195"	"33"	"365"	"593"	""	"593"	""
"11"	"2"	"449"	"77"	"65"	"591"	""	"591"	""
"12"	"3"	"446"	"12"	"14"	"472"	""	"472"	""
"13"	"4"	"339"	"6"	"15"	"360"	""	"360"	""
"14"	"5"	"148"	"29"	"63"	"240"	""	"240"	""
"15"	"6"	"284"	"14"	"35"	"333"	""	"333"	""
"16"	"7"	"151"	"22"	"134"	"307"	""	"307"	""
"17"	"7A"	"272"	"19"	"43"	"334"	""	"334"	""
"18"	"8"	"227"	"25"	"41"	"293"	""	"293"	""
"19"	"8A"	"204"	"14"	"51"	"269"	""	"269"	""
"20"	"9"	"74"	"179"	"34"	"287"	""	"287"	""
"21"	"9A"	"159"	"40"	"35"	"234"	""	"234"	""
"22"	"10"	"344"	"3"	"8"	"355"	""	"355"	""
"23"	"11"	"400"	"9"	"76"	"485"	""	"485"	""
"24"	"Round-1 Total"	"3692"	"482"	"979"	"5153"	"0"	"5153"	"0"
"25"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"26"	""	"PASHUPATI KUMAR PARAS (LJP)"	"RAJ KUMARI (JD(U))"	"RAMBRIKSHA SADA (RJD)"	""	""	""	""
"27"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"28"	"B/F"	"3692"	"482"	"979"	"5153"	"0"	"5153"	"0"
"29"	"12"	"196"	"25"	"149"	"370"	""	"370"	""
"30"	"13"	"375"	"21"	"130"	"526"	""	"526"	""
"31"	"14"	"206"	"192"	"26"	"424"	""	"424"	""
"32"	"14A"	"156"	"150"	"17"	"323"	""	"323"	""
"33"	"15"	"345"	"9"	"82"	"436"	""	"436"	""
"34"	"16"	"166"	"8"	"194"	"368"	""	"368"	""
"35"	"17"	"282"	"19"	"254"	"555"	""	"555"	""
"36"	"18"	"208"	"4"	"8"	"220"	""	"220"	""
"37"	"19"	"88"	"21"	"157"	"266"	""	"266"	""
"38"	"19A"	"102"	"26"	"235"	"363"	""	"363"	""
"39"	"20"	"259"	"72"	"301"	"632"	""	"632"	""
"40"	"21"	"256"	"33"	"92"	"381"	""	"381"	""
"41"	"21A"	"81"	"31"	"219"	"331"	""	"331"	""
"42"	"22"	"247"	"18"	"223"	"488"	""	"488"	""
"43"	"Round-2
Total"	"2967"	"629"	"2087"	"5683"	"0"	"5683"	"0"
"44"	"Cumm.
Total"	"6659"	"1111"	"3066"	"10836"	"0"	"10836"	"0"
"45"	"Serial No. of Polling
Station"	"No. of Valid voter casts in favour of"	""	""	"Total No. of Valid Votes"	"No. of rejected
votes"	"Total"	"No. of Tendered
Votes"
"46"	""	"PASHUPATI KUMAR PARAS (LJP)"	"RAJ KUMARI (JD(U))"	"RAMBRIKSHA SADA (RJD)"	""	""	""	""
"47"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"48"	"B/F"	"6659"	"1111"	"3066"	"10836"	"0"	"10836"	"0"
"49"	"22A"	"119"	"125"	"121"	"365"	""	"365"	""
"50"	"23"	"306"	"44"	"131"	"481"	""	"481"	""
"51"	"24"	"166"	"134"	"134"	"434"	""	"434"	""
"52"	"25"	"150"	"175"	"55"	"380"	""	"380"	""
"53"	"26"	"216"	"20"	"99"	"335"	""	"335"	""
"54"	"26A"	"274"	"18"	"62"	"354"	""	"354"	""
"55"	"27"	"195"	"32"	"98"	"325"	""	"325"	""
"56"	"28"	"138"	"51"	"465"	"654"	""	"654"	""
"57"	"29"	"74"	"22"	"329"	"425"	""	"425"	""
"58"	"30"	"241"	"29"	"297"	"567"	""	"567"	""
"59"	"31"	"204"	"48"	"435"	"687"	""	"687"	""
"60"	"32"	"156"	"37"	"431"	"624"	""	"624"	""
"61"	"33"	"418"	"12"	"168"	"598"	""	"598"	""
"62"	"34"	"180"	"68"	"195"	"443"	""	"443"	""
"63"	"Round-3
Total"	"2837"	"815"	"3020"	"6672"	"0"	"6672"	"0"
