"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE FROM 62-AURAI  ASSEMBLY CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"TOTAL NO OF ELECTORS IN 62-AURAI ASSEMBLY CONSTITUENCY                        180075"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"NAME OF THE ASSEMBLY /SEGMENT……………………………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PS NO."	"ARJUN RAY"	"UGAN TARA DEVI"	"MOH. LAL BABU"	"SANJAY SHAHI"	"ABHAY KUMAR"	"TARIQUE IMAM"	"NAND KISHORE YADAV"	"BHIKHARI SAHANI"	"MD. SAGHIR AHMAD"	"SURENDRA KUMAR"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF
TENDERED VOTES"	""
"6"	"1"	"271"	"11"	"8"	"7"	"23"	"1"	"0"	"1"	"4"	"5"	"331"	""	"331"	""	""
"7"	"2"	"315"	"10"	"10"	"3"	"28"	"9"	"2"	"4"	"0"	"15"	"396"	""	"396"	""	""
"8"	"3"	"222"	"6"	"7"	"2"	"64"	"8"	"3"	"1"	"2"	"11"	"326"	""	"326"	""	""
"9"	"4"	"158"	"8"	"28"	"10"	"54"	"9"	"8"	"7"	"10"	"20"	"312"	""	"312"	""	""
"10"	"5"	"207"	"13"	"28"	"18"	"222"	"48"	"13"	"8"	"9"	"28"	"594"	""	"594"	""	""
"11"	"6"	"378"	"30"	"8"	"7"	"42"	"5"	"7"	"9"	"12"	"105"	"603"	""	"603"	""	""
"12"	"7"	"183"	"17"	"14"	"86"	"146"	"28"	"12"	"2"	"7"	"14"	"509"	""	"509"	""	""
"13"	"8"	"313"	"7"	"4"	"15"	"112"	"12"	"2"	"1"	"6"	"10"	"482"	""	"482"	""	""
"14"	"9"	"182"	"12"	"10"	"19"	"58"	"3"	"4"	"5"	"4"	"44"	"341"	""	"341"	""	""
"15"	"10"	"235"	"11"	"5"	"22"	"114"	"9"	"4"	"1"	"3"	"9"	"413"	""	"413"	""	""
"16"	"11"	"76"	"66"	"5"	"41"	"72"	"8"	"1"	"2"	"3"	"7"	"281"	""	"281"	""	""
"17"	"12"	"57"	"4"	"0"	"5"	"11"	"1"	"1"	"3"	"6"	"252"	"340"	""	"340"	""	""
"18"	"13"	"65"	"4"	"2"	"2"	"3"	"1"	"1"	"3"	"6"	"262"	"349"	""	"349"	""	""
"19"	"14"	"186"	"43"	"3"	"0"	"28"	"6"	"2"	"6"	"4"	"20"	"298"	""	"298"	""	""
"20"	"15"	"161"	"29"	"13"	"4"	"110"	"5"	"4"	"3"	"4"	"9"	"342"	""	"342"	""	""
"21"	"16"	"167"	"54"	"6"	"16"	"91"	"2"	"7"	"3"	"8"	"12"	"366"	""	"366"	""	""
"22"	"17"	"214"	"90"	"4"	"13"	"25"	"2"	"2"	"1"	"5"	"21"	"377"	""	"377"	""	""
"23"	"18"	"209"	"9"	"5"	"4"	"69"	"5"	"1"	"0"	"2"	"14"	"318"	""	"318"	""	""
"24"	"19"	"382"	"17"	"1"	"9"	"22"	"4"	"3"	"4"	"12"	"22"	"476"	""	"476"	""	""
"25"	"20"	"390"	"75"	"10"	"6"	"7"	"1"	"0"	"4"	"4"	"17"	"514"	""	"514"	""	""
"26"	"21"	"260"	"12"	"11"	"4"	"26"	"2"	"1"	"3"	"6"	"13"	"338"	""	"338"	""	""
"27"	"22"	"278"	"6"	"2"	"2"	"7"	"2"	"0"	"2"	"0"	"10"	"309"	""	"309"	""	""
"28"	"23"	"36"	"8"	"5"	"0"	"45"	"4"	"2"	"3"	"5"	"37"	"145"	""	"145"	""	""
"29"	"24"	"136"	"13"	"5"	"3"	"33"	"0"	"4"	"1"	"4"	"15"	"214"	""	"214"	""	""
"30"	"24A"	"77"	"9"	"2"	"20"	"59"	"2"	"0"	"2"	"1"	"7"	"179"	""	"179"	""	""
"31"	"25"	"187"	"27"	"5"	"7"	"154"	"12"	"9"	"0"	"6"	"25"	"432"	""	"432"	""	""
"32"	"25A"	"256"	"47"	"2"	"3"	"39"	"2"	"2"	"6"	"1"	"10"	"368"	""	"368"	""	""
"33"	"26"	"84"	"7"	"26"	"10"	"389"	"48"	"17"	"3"	"9"	"27"	"620"	""	"620"	""	""
"34"	"27"	"105"	"20"	"16"	"13"	"306"	"43"	"8"	"6"	"15"	"32"	"564"	""	"564"	""	""
"35"	"28"	"218"	"33"	"25"	"8"	"59"	"5"	"4"	"2"	"2"	"9"	"365"	""	"365"	""	""
"36"	"29"	"113"	"19"	"10"	"2"	"70"	"1"	"7"	"9"	"3"	"7"	"241"	""	"241"	""	""
"37"	"30"	"254"	"64"	"10"	"1"	"41"	"6"	"2"	"0"	"4"	"7"	"389"	""	"389"	""	""
"38"	"31"	"80"	"7"	"9"	"15"	"477"	"34"	"3"	"7"	"9"	"19"	"660"	""	"660"	""	""
"39"	"32"	"60"	"25"	"16"	"5"	"438"	"41"	"5"	"6"	"3"	"35"	"634"	""	"634"	""	""
"40"	"33"	"179"	"7"	"4"	"8"	"341"	"27"	"10"	"1"	"6"	"22"	"605"	""	"605"	""	""
"41"	"PS NO."	"ARJUN RAY"	"UGAN TARA DEVI"	"MOH. LAL BABU"	"SANJAY SHAHI"	"ABHAY KUMAR"	"TARIQUE IMAM"	"NAND KISHORE YADAV"	"BHIKHARI SAHANI"	"MD. SAGHIR AHMAD"	"SURENDRA KUMAR"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF
TENDERED VOTES"	""
"42"	"34"	"231"	"16"	"18"	"15"	"384"	"30"	"7"	"13"	"10"	"23"	"747"	""	"747"	""	""
"43"	"35"	"29"	"27"	"15"	"2"	"157"	"5"	"3"	"2"	"1"	"7"	"248"	""	"248"	""	""
"44"	"36"	"128"	"55"	"60"	"12"	"270"	"32"	"13"	"7"	"14"	"31"	"622"	""	"622"	""	""
"45"	"37"	"123"	"47"	"24"	"11"	"392"	"14"	"5"	"1"	"4"	"12"	"633"	""	"633"	""	""
"46"	"38"	"233"	"24"	"163"	"20"	"56"	"14"	"14"	"12"	"7"	"18"	"561"	""	"561"	""	""
"47"	"39"	"118"	"8"	"28"	"4"	"34"	"2"	"2"	"6"	"2"	"3"	"207"	""	"207"	""	""
"48"	"40"	"127"	"3"	"30"	"5"	"120"	"16"	"11"	"10"	"8"	"29"	"359"	""	"359"	""	""
"49"	"41"	"102"	"36"	"10"	"13"	"23"	"6"	"0"	"5"	"3"	"9"	"207"	""	"207"	""	""
"50"	"42"	"215"	"18"	"13"	"2"	"85"	"17"	"8"	"5"	"11"	"30"	"404"	""	"404"	""	""
"51"	"43"	"241"	"108"	"7"	"25"	"169"	"19"	"4"	"8"	"9"	"26"	"616"	""	"616"	""	""
"52"	"44"	"216"	"43"	"8"	"18"	"222"	"22"	"11"	"7"	"9"	"10"	"566"	""	"566"	""	""
"53"	"45"	"57"	"11"	"5"	"8"	"170"	"16"	"4"	"2"	"1"	"13"	"287"	""	"287"	""	""
"54"	"46"	"309"	"9"	"17"	"4"	"51"	"7"	"1"	"2"	"4"	"9"	"413"	""	"413"	""	""
"55"	"47"	"235"	"34"	"29"	"21"	"172"	"3"	"2"	"2"	"5"	"4"	"507"	""	"507"	""	""
"56"	"48"	"49"	"17"	"40"	"27"	"128"	"16"	"10"	"9"	"14"	"33"	"343"	""	"343"	""	""
"57"	"49"	"59"	"3"	"7"	"217"	"10"	"3"	"3"	"1"	"2"	"6"	"311"	""	"311"	""	""
"58"	"50"	"18"	"5"	"2"	"212"	"6"	"0"	"3"	"0"	"0"	"4"	"250"	""	"250"	""	""
