"ernku.dsUnz.dh.dz0.la0"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"dqy.fof.k.ekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonRr.erksa.dh.la..k"
"1"	""	"vCnqy tyhy"	"[oktk cgkmn~nhu vgen"	"fouksnkuan lkg"	"'kaHkq dqekj eaMy"	"fgejkt flag"	"tkfdj glsu"	"ekxu ikloku"	"vyhjtk"	"dSyk'k jtd"	"fnus'k dq0 bUlku"	"fursUnz jk;"	"izeksn dq0 flag"	"Hkksyk jk;"	"ealqj vkye"	"eks0 etg:y gd 'ksj"	"'kEHkw jk;"	""	""	""	""
"2"	"1"	"131"	"3"	"19"	"6"	"319"	"11"	"5"	"0"	"8"	"1"	"5"	"2"	"2"	"0"	"1"	"3"	"516"	"0"	"516"	"0"
"3"	"2"	"296"	"14"	"15"	"3"	"40"	"8"	"2"	"2"	"2"	"3"	"3"	"6"	"2"	"4"	"4"	"25"	"429"	"0"	"429"	"0"
"4"	"3"	"383"	"11"	"25"	"6"	"194"	"9"	"2"	"3"	"1"	"5"	"1"	"1"	"0"	"0"	"5"	"11"	"657"	"0"	"657"	"0"
"5"	"4"	"464"	"18"	"21"	"3"	"71"	"18"	"1"	"2"	"3"	"3"	"0"	"5"	"6"	"2"	"2"	"34"	"653"	"0"	"653"	"0"
"6"	"5"	"329"	"8"	"24"	"2"	"55"	"44"	"3"	"0"	"4"	"2"	"2"	"8"	"1"	"3"	"0"	"10"	"495"	"0"	"495"	"0"
"7"	"6"	"175"	"3"	"8"	"1"	"54"	"1"	"1"	"0"	"3"	"3"	"1"	"43"	"3"	"4"	"3"	"11"	"314"	"0"	"314"	"0"
"8"	"7"	"308"	"13"	"21"	"7"	"160"	"13"	"2"	"3"	"7"	"11"	"3"	"3"	"3"	"3"	"7"	"18"	"582"	"0"	"582"	"0"
"9"	"8"	"125"	"4"	"20"	"8"	"158"	"10"	"4"	"2"	"2"	"33"	"1"	"2"	"5"	"3"	"2"	"19"	"398"	"0"	"398"	"0"
"10"	"9"	"542"	"14"	"6"	"3"	"10"	"7"	"5"	"0"	"3"	"4"	"2"	"3"	"5"	"1"	"2"	"5"	"612"	"0"	"612"	"0"
"11"	"10"	"153"	"10"	"14"	"3"	"147"	"5"	"0"	"0"	"8"	"71"	"4"	"1"	"2"	"2"	"2"	"4"	"426"	"0"	"426"	"0"
"12"	"10A"	"138"	"1"	"14"	"7"	"128"	"4"	"2"	"5"	"1"	"4"	"0"	"0"	"0"	"1"	"1"	"9"	"315"	"0"	"315"	"0"
"13"	"11"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"
