"PART...I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"3"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"4"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"5"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
"6"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"7"	"1"	"5"	"94"	"180"	"25"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"308"	"0"	"308"	"0"
"8"	"1 A"	"95"	"31"	"101"	"147"	"18"	"4"	"4"	"2"	"7"	"0"	"1"	"410"	"0"	"410"	"0"
"9"	"2"	"15"	"155"	"218"	"254"	"13"	"4"	"0"	"5"	"1"	"3"	"2"	"670"	"0"	"670"	"0"
"10"	"3"	"54"	"92"	"194"	"185"	"10"	"6"	"4"	"4"	"12"	"7"	"8"	"576"	"0"	"576"	"0"
"11"	"4"	"56"	"204"	"216"	"151"	"6"	"2"	"2"	"5"	"5"	"3"	"6"	"656"	"0"	"656"	"0"
"12"	"5"	"5"	"125"	"264"	"88"	"5"	"0"	"0"	"3"	"2"	"0"	"6"	"498"	"0"	"498"	"0"
"13"	"6"	"40"	"43"	"212"	"21"	"173"	"5"	"0"	"2"	"3"	"4"	"1"	"504"	"0"	"504"	"0"
"14"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"15"	"8"	"23"	"88"	"118"	"174"	"9"	"1"	"4"	"1"	"4"	"1"	"1"	"424"	"0"	"424"	"0"
"16"	"9"	"20"	"37"	"38"	"242"	"25"	"4"	"2"	"1"	"3"	"8"	"7"	"387"	"0"	"387"	"0"
"17"	"10"	"15"	"112"	"147"	"175"	"12"	"6"	"0"	"1"	"4"	"5"	"5"	"482"	"0"	"482"	"0"
"18"	"11"	"12"	"232"	"70"	"11"	"6"	"2"	"2"	"0"	"2"	"4"	"1"	"342"	"0"	"342"	"0"
"19"	"11 A"	"14"	"134"	"27"	"228"	"6"	"4"	"4"	"3"	"6"	"8"	"22"	"456"	"0"	"456"	"0"
"20"	"12"	"57"	"123"	"163"	"265"	"8"	"8"	"50"	"6"	"4"	"1"	"11"	"696"	"0"	"696"	"0"
"21"	"TOTAL"	"411"	"1470"	"1948"	"1966"	"293"	"46"	"73"	"33"	"53"	"44"	"72"	"6409"	"0"	"6409"	"0"
"22"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"25"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"26"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"27"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
"28"	"BF"	"411"	"1470"	"1948"	"1966"	"293"	"46"	"73"	"33"	"53"	"44"	"72"	"6409"	"0"	"6409"	"0"
"29"	"13"	"26"	"104"	"273"	"77"	"8"	"4"	"1"	"5"	"6"	"4"	"8"	"516"	"0"	"516"	"0"
"30"	"14"	"26"	"275"	"187"	"208"	"9"	"3"	"1"	"0"	"2"	"3"	"2"	"716"	"0"	"716"	"0"
"31"	"15"	"40"	"130"	"193"	"159"	"9"	"0"	"2"	"1"	"3"	"3"	"12"	"552"	"0"	"552"	"0"
"32"	"16"	"23"	"270"	"79"	"20"	"5"	"1"	"3"	"2"	"1"	"4"	"8"	"416"	"0"	"416"	"0"
"33"	"17"	"33"	"530"	"28"	"2"	"1"	"1"	"2"	"0"	"1"	"2"	"2"	"602"	"0"	"602"	"0"
"34"	"17 A"	"83"	"90"	"67"	"126"	"5"	"1"	"1"	"2"	"6"	"7"	"15"	"403"	"0"	"403"	"0"
"35"	"18"	"28"	"46"	"234"	"88"	"2"	"0"	"1"	"0"	"0"	"2"	"3"	"404"	"0"	"404"	"0"
"36"	"18 A"	"41"	"79"	"103"	"264"	"11"	"4"	"2"	"2"	"2"	"14"	"14"	"536"	"0"	"536"	"0"
"37"	"19"	"97"	"139"	"121"	"20"	"5"	"4"	"0"	"0"	"6"	"8"	"0"	"400"	"0"	"400"	"0"
"38"	"20"	"51"	"132"	"125"	"254"	"7"	"5"	"1"	"2"	"2"	"7"	"14"	"600"	"0"	"600"	"0"
"39"	"21"	"30"	"155"	"151"	"188"	"11"	"3"	"3"	"2"	"2"	"3"	"12"	"560"	"0"	"560"	"0"
"40"	"22"	"12"	"194"	"146"	"62"	"5"	"1"	"2"	"3"	"0"	"3"	"7"	"435"	"0"	"435"	"0"
"41"	"23"	"25"	"262"	"106"	"145"	"6"	"21"	"1"	"4"	"4"	"111"	"11"	"696"	"0"	"696"	"0"
"42"	"24"	"24"	"185"	"188"	"63"	"1"	"6"	"2"	"1"	"3"	"6"	"5"	"484"	"0"	"484"	"0"
"43"	"TOTAL"	"950"	"4061"	"3949"	"3642"	"378"	"100"	"95"	"57"	"91"	"221"	"185"	"13729"	"0"	"13729"	"0"
"44"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"47"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"48"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"49"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
"50"	"BF"	"950"	"4061"	"3949"	"3642"	"378"	"100"	"95"	"57"	"91"	"221"	"185"	"13729"	"0"	"13729"	"0"
"51"	"25"	"45"	"165"	"240"	"72"	"2"	"3"	"3"	"1"	"2"	"5"	"7"	"545"	"0"	"545"	"0"
"52"	"26"	"36"	"303"	"138"	"27"	"1"	"2"	"0"	"2"	"3"	"4"	"2"	"518"	"0"	"518"	"0"
"53"	"27"	"19"	"169"	"273"	"169"	"5"	"2"	"0"	"2"	"2"	"3"	"5"	"649"	"0"	"649"	"0"
"54"	"28"	"47"	"151"	"160"	"251"	"9"	"6"	"3"	"1"	"6"	"3"	"7"	"644"	"0"	"644"	"0"
"55"	"29"	"17"	"152"	"223"	"127"	"8"	"0"	"5"	"4"	"1"	"4"	"6"	"547"	"0"	"547"	"0"
"56"	"30"	"10"	"141"	"160"	"10"	"4"	"5"	"0"	"1"	"8"	"8"	"20"	"367"	"0"	"367"	"0"
"57"	"31"	"24"	"77"	"483"	"21"	"9"	"4"	"5"	"2"	"8"	"2"	"12"	"647"	"0"	"647"	"0"
"58"	"32"	"9"	"9"	"40"	"254"	"11"	"3"	"2"	"2"	"1"	"0"	"2"	"333"	"0"	"333"	"0"
"59"	"33"	"15"	"44"	"166"	"3"	"130"	"3"	"2"	"3"	"1"	"7"	"7"	"381"	"0"	"381"	"0"
"60"	"34"	"3"	"116"	"275"	"214"	"16"	"2"	"3"	"1"	"0"	"6"	"5"	"641"	"0"	"641"	"0"
"61"	"35"	"57"	"152"	"250"	"37"	"2"	"1"	"0"	"0"	"1"	"2"	"2"	"504"	"0"	"504"	"0"
"62"	"35 A"	"13"	"180"	"68"	"24"	"2"	"2"	"4"	"1"	"1"	"8"	"4"	"307"	"0"	"307"	"0"
"63"	"36"	"21"	"374"	"251"	"84"	"21"	"2"	"1"	"5"	"5"	"6"	"5"	"775"	"0"	"775"	"0"
"64"	"37"	"42"	"95"	"227"	"118"	"4"	"2"	"0"	"8"	"1"	"4"	"9"	"510"	"0"	"510"	"0"
"65"	"TOTAL"	"1308"	"6189"	"6903"	"5053"	"602"	"137"	"123"	"90"	"131"	"283"	"278"	"21097"	"0"	"21097"	"0"
"66"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"69"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"70"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"71"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
"72"	"BF"	"1308"	"6189"	"6903"	"5053"	"602"	"137"	"123"	"90"	"131"	"283"	"278"	"21097"	"0"	"21097"	"0"
"73"	"38"	"77"	"57"	"269"	"148"	"31"	"7"	"0"	"5"	"1"	"2"	"6"	"603"	"0"	"603"	"0"
"74"	"39"	"87"	"243"	"156"	"77"	"4"	"1"	"3"	"2"	"6"	"4"	"12"	"595"	"0"	"595"	"0"
"75"	"40"	"79"	"22"	"170"	"222"	"8"	"1"	"0"	"1"	"2"	"1"	"1"	"507"	"0"	"507"	"0"
"76"	"41"	"19"	"49"	"145"	"126"	"7"	"0"	"1"	"0"	"3"	"0"	"2"	"352"	"0"	"352"	"0"
"77"	"42"	"20"	"133"	"162"	"72"	"2"	"4"	"3"	"0"	"1"	"0"	"6"	"403"	"0"	"403"	"0"
"78"	"42 A"	"6"	"263"	"75"	"97"	"6"	"0"	"3"	"0"	"1"	"0"	"1"	"452"	"0"	"452"	"0"
"79"	"43"	"38"	"417"	"158"	"60"	"3"	"1"	"0"	"1"	"3"	"4"	"10"	"695"	"0"	"695"	"0"
"80"	"44"	"16"	"153"	"367"	"82"	"2"	"0"	"0"	"1"	"3"	"1"	"0"	"625"	"0"	"625"	"0"
"81"	"45"	"6"	"141"	"262"	"113"	"1"	"2"	"1"	"0"	"5"	"2"	"1"	"534"	"0"	"534"	"0"
"82"	"46"	"24"	"133"	"124"	"64"	"6"	"8"	"2"	"0"	"3"	"3"	"8"	"375"	"0"	"375"	"0"
"83"	"47"	"14"	"39"	"186"	"96"	"18"	"2"	"0"	"1"	"4"	"1"	"10"	"371"	"0"	"371"	"0"
"84"	"48"	"22"	"84"	"132"	"97"	"32"	"2"	"3"	"3"	"2"	"2"	"5"	"384"	"0"	"384"	"0"
"85"	"48 A"	"73"	"123"	"224"	"93"	"15"	"9"	"5"	"2"	"10"	"4"	"9"	"567"	"0"	"567"	"0"
"86"	"49"	"51"	"103"	"190"	"24"	"0"	"0"	"0"	"0"	"2"	"1"	"4"	"375"	"0"	"375"	"0"
"87"	"TOTAL"	"1840"	"8149"	"9523"	"6424"	"737"	"174"	"144"	"106"	"177"	"308"	"353"	"27935"	"0"	"27935"	"0"
"88"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"91"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"92"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"93"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
"94"	"BF"	"1840"	"8149"	"9523"	"6424"	"737"	"174"	"144"	"106"	"177"	"308"	"353"	"27935"	"0"	"27935"	"0"
"95"	"49 A"	"19"	"117"	"243"	"33"	"2"	"2"	"0"	"1"	"3"	"1"	"1"	"422"	"0"	"422"	"0"
"96"	"50"	"59"	"203"	"116"	"313"	"16"	"2"	"2"	"3"	"2"	"6"	"6"	"728"	"0"	"728"	"0"
"97"	"51"	"61"	"182"	"187"	"208"	"5"	"1"	"0"	"1"	"7"	"4"	"4"	"660"	"0"	"660"	"0"
"98"	"52"	"1"	"32"	"283"	"10"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"329"	"0"	"329"	"0"
"99"	"53"	"42"	"165"	"157"	"41"	"3"	"0"	"1"	"0"	"4"	"4"	"2"	"419"	"0"	"419"	"0"
"100"	"54"	"7"	"244"	"195"	"100"	"3"	"0"	"0"	"0"	"0"	"2"	"0"	"551"	"0"	"551"	"0"
"101"	"55"	"8"	"250"	"199"	"239"	"13"	"3"	"0"	"3"	"0"	"1"	"1"	"717"	"0"	"717"	"0"
