"SI.No.of.Polling.Station"	"X."	"NO..OF.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"TOTAL.NO..OF.VALID.VOTES"	"X..25"	"X..26"	"No.fo.Rejected.Votes"	"X..27"	"X..28"	"Total"	"X..29"	"X..30"	"X..31"	"No..of.Tendered.Votes"	"X..32"	"X..33"	"X..34"
"1"	""	""	"MD.NEHA L UDDIN"	""	"RAM CHANDRA SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	""	"MAHENDR A   RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""
"3"	"1"	""	"230"	""	"38"	""	"4"	""	"88"	""	"3"	""	"2"	""	"1"	""	"1"	""	"3"	""	""	"3"	""	""	"4"	""	""	"377"	""	""	"0"	""	""	"377"	""	""	""	"0"	""	""	""
"4"	"2"	""	"81"	""	"52"	""	"11"	""	"81"	""	"16"	""	"3"	""	"0"	""	"2"	""	"1"	""	""	"3"	""	""	"4"	""	""	"254"	""	""	"0"	""	""	"254"	""	""	""	"0"	""	""	""
"5"	"3"	""	"12"	""	"150"	""	"75"	""	"113"	""	"8"	""	"1"	""	"0"	""	"2"	""	"9"	""	""	"7"	""	""	"7"	""	""	"384"	""	""	"0"	""	""	"384"	""	""	""	"0"	""	""	""
"6"	"4"	""	"17"	""	"7"	""	"15"	""	"257"	""	"10"	""	"2"	""	"0"	""	"1"	""	"0"	""	""	"0"	""	""	"0"	""	""	"309"	""	""	"0"	""	""	"309"	""	""	""	"0"	""	""	""
"7"	"5"	""	"312"	""	"89"	""	"25"	""	"80"	""	"4"	""	"2"	""	"1"	""	"4"	""	"5"	""	""	"9"	""	""	"13"	""	""	"544"	""	""	"0"	""	""	"544"	""	""	""	"0"	""	""	""
"8"	"6"	""	"252"	""	"114"	""	"57"	""	"110"	""	"11"	""	"6"	""	"2"	""	"11"	""	"7"	""	""	"3"	""	""	"21"	""	""	"594"	""	""	"0"	""	""	"594"	""	""	""	"0"	""	""	""
"9"	"7"	""	"22"	""	"0"	""	"14"	""	"235"	""	"0"	""	"0"	""	"0"	""	"3"	""	"0"	""	""	"1"	""	""	"3"	""	""	"278"	""	""	"0"	""	""	"278"	""	""	""	"0"	""	""	""
"10"	"8"	""	"287"	""	"27"	""	"72"	""	"181"	""	"2"	""	"3"	""	"5"	""	"9"	""	"11"	""	""	"3"	""	""	"26"	""	""	"626"	""	""	"0"	""	""	"626"	""	""	""	"0"	""	""	""
