"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(SEE RUSELT 56 (6) FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling station other than notified polling stations) Election to the Bihar Legistative assembly from the 160-JHAJHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total no of electors in assembly constituency-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"SL. No. of
Polling Station."	"DAMODAR RAWAT"	"RAJU YADAV"	"RASHID AHMAD"	"VINOD PD. YADAV"	""	"DINESH KUMAR SINGH"	"KAPIL DEO MANDAL"	"PUNAM DEVI"	"PRADEEP YADAV"	"BASUDEO MANDAL"	"Total of valid votes"	"No. of rejected votes"	""	"Total"	"No. of tendered votes"
"6"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	"9"	"-10"	"11"	""	"12"	"13"
"7"	"1"	"249"	"10"	"182"	"23"	""	"11"	"8"	"56"	"13"	"14"	"-566"	"&"	""	"-566"	"&"
"8"	"2"	"267"	"3"	"18"	"11"	""	"27"	"7"	"5"	"16"	"17"	"-371"	"&"	""	"-371"	"&"
"9"	"3"	"179"	"2"	"37"	"13"	""	"9"	"1"	"2"	"11"	"17"	"-271"	"&"	""	"-271"	"&"
"10"	"4"	"232"	"12"	"82"	"45"	""	"14"	"3"	"8"	"7"	"9"	"-412"	"&"	""	"-412"	"&"
"11"	"5"	"272"	"2"	"18"	"10"	""	"17"	"2"	"9"	"5"	"3"	"-338"	"&"	""	"-338"	"&"
"12"	"6"	"131"	"2"	"29"	"18"	""	"8"	"3"	"3"	"3"	"9"	"-206"	"&"	""	"-206"	"&"
"13"	"7"	"250"	"6"	"34"	"5"	""	"14"	"2"	"3"	"6"	"3"	"-323"	"&"	""	"-323"	"&"
"14"	"8"	"50"	"3"	"164"	"23"	""	"6"	"1"	"7"	"3"	"10"	"-267"	"&"	""	"-267"	"&"
"15"	"9"	"65"	"14"	"231"	"41"	""	"14"	"10"	"41"	"11"	"22"	"-449"	"&"	""	"-449"	"&"
"16"	"10"	"407"	"7"	"52"	"39"	""	"11"	"4"	"3"	"11"	"20"	"-554"	"&"	""	"-554"	"&"
"17"	"11"	"108"	"23"	"370"	"42"	""	"6"	"8"	"3"	"9"	"15"	"-584"	"&"	""	"-584"	"&"
"18"	"12"	"75"	"3"	"91"	"13"	""	"4"	"0"	"2"	"3"	"6"	"-197"	"&"	""	"-197"	"&"
"19"	"13"	"50"	"12"	"208"	"30"	""	"3"	"2"	"5"	"6"	"12"	"-328"	"&"	""	"-328"	"&"
"20"	"14"	"78"	"4"	"480"	"28"	""	"6"	"1"	"210"	"5"	"4"	"-816"	"&"	""	"-816"	"&"
"21"	"15"	"12"	"1"	"201"	"41"	""	"1"	"1"	"37"	"2"	"5"	"-301"	"&"	""	"-301"	"&"
"22"	"16"	"281"	"2"	"8"	"31"	""	"18"	"4"	"37"	"15"	"15"	"-411"	"&"	""	"-411"	"&"
"23"	"17"	"60"	"1"	"20"	"3"	""	"7"	"1"	"1"	"1"	"2"	"-96"	"&"	""	"-96"	"&"
"24"	"18"	"193"	"7"	"128"	"30"	""	"6"	"6"	"15"	"12"	"13"	"-410"	"&"	""	"-410"	"&"
"25"	"19"	"180"	"7"	"127"	"32"	""	"49"	"3"	"33"	"1"	"4"	"-436"	"&"	""	"-436"	"&"
"26"	"20"	"348"	"10"	"151"	"29"	""	"22"	"1"	"11"	"16"	"15"	"-603"	"&"	""	"-603"	"&"
"27"	"21"	"240"	"29"	"38"	"36"	""	"31"	"6"	"6"	"8"	"16"	"-410"	"&"	""	"-410"	"&"
"28"	"22"	"84"	"6"	"84"	"59"	""	"7"	"3"	"3"	"2"	"5"	"-253"	"&"	""	"-253"	"&"
"29"	"23"	"23"	"2"	"207"	"13"	""	"13"	"4"	"16"	"9"	"5"	"-292"	"&"	""	"-292"	"&"
"30"	"24"	"261"	"20"	"222"	"59"	""	"54"	"8"	"26"	"12"	"12"	"-674"	"&"	""	"-674"	"&"
"31"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"SL. No. of
Polling Station."	"DAMODAR RAWAT"	"RAJU YADAV"	"RASHID AHMAD"	"VINOD PD. YADAV"	""	"DINESH KUMAR SINGH"	"KAPIL DEO MANDAL"	"PUNAM DEVI"	"PRADEEP YADAV"	"BASUDEO MANDAL"	"Total of valid votes"	"No. of rejected votes"	""	"Total"	"No. of tendered votes"
"33"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	"9"	"-10"	"11"	""	"12"	"13"
"34"	"25"	"293"	"5"	"110"	"36"	""	"14"	"8"	"7"	"5"	"20"	"-498"	"&"	""	"-498"	"&"
"35"	"26"	"419"	"2"	"48"	"78"	""	"19"	"0"	"9"	"8"	"13"	"-596"	"&"	""	"-596"	"&"
"36"	"27"	"293"	"7"	"24"	"26"	""	"267"	"7"	"9"	"8"	"17"	"-658"	"&"	""	"-658"	"&"
"37"	"28"	"277"	"19"	"66"	"9"	""	"53"	"4"	"6"	"14"	"17"	"-465"	"&"	""	"-465"	"&"
"38"	"29"	"164"	"6"	"310"	"10"	""	"89"	"6"	"14"	"8"	"12"	"-619"	"&"	""	"-619"	"&"
"39"	"30"	"119"	"6"	"98"	"41"	""	"167"	"4"	"9"	"5"	"7"	"-456"	"&"	""	"-456"	"&"
"40"	"31"	"176"	"8"	"40"	"21"	""	"110"	"2"	"4"	"0"	"3"	"-364"	"&"	""	"-364"	"&"
"41"	"32"	"8"	"1"	"12"	"16"	""	"361"	"1"	"0"	"0"	"3"	"-402"	"&"	""	"-402"	"&"
"42"	"33"	"316"	"1"	"1"	"2"	""	"48"	"2"	"2"	"0"	"8"	"-380"	"&"	""	"-380"	"&"
"43"	"33A"	"301"	"0"	"16"	"7"	""	"24"	"0"	"2"	"0"	"1"	"-351"	"&"	""	"-351"	""
"44"	"34"	"119"	"4"	"5"	"9"	""	"66"	"1"	"6"	"3"	"4"	"-217"	"&"	""	"-217"	"&"
"45"	"35"	"287"	"14"	"185"	"23"	""	"59"	"6"	"84"	"16"	"19"	"-693"	"&"	""	"-693"	"&"
"46"	"36"	"175"	"4"	"187"	"28"	""	"7"	"8"	"16"	"10"	"18"	"-453"	"&"	""	"-453"	"&"
"47"	"37"	"270"	"4"	"5"	"4"	""	"45"	"3"	"5"	"3"	"8"	"-347"	"&"	""	"-347"	"&"
"48"	"38"	"185"	"5"	"48"	"8"	""	"100"	"1"	"3"	"3"	"7"	"-360"	"&"	""	"-360"	"&"
"49"	"39"	"115"	"9"	"80"	"9"	""	"324"	"7"	"13"	"2"	"7"	"-566"	"&"	""	"-566"	"&"
"50"	"40"	"28"	"6"	"90"	"14"	""	"105"	"8"	"23"	"11"	"16"	"-301"	"&"	""	"-301"	"&"
"51"	"41"	"187"	"13"	"32"	"88"	""	"40"	"7"	"49"	"13"	"15"	"-444"	"&"	""	"-444"	"&"
"52"	"42"	"144"	"8"	"90"	"43"	""	"5"	"0"	"17"	"6"	"8"	"-321"	"&"	""	"-321"	"&"
"53"	"43"	"148"	"8"	"77"	"35"	""	"6"	"1"	"10"	"10"	"15"	"-310"	"&"	""	"-310"	"&"
"54"	"44"	"112"	"10"	"169"	"17"	""	"5"	"1"	"27"	"5"	"14"	"-360"	"&"	""	"-360"	"&"
"55"	"45"	"70"	"4"	"48"	"5"	""	"2"	"3"	"11"	"1"	"4"	"-148"	"&"	""	"-148"	"&"
"56"	"46"	"101"	"4"	"72"	"11"	""	"8"	"2"	"6"	"4"	"6"	"-214"	"&"	""	"-214"	"&"
"57"	"47"	"402"	"13"	"109"	"20"	""	"7"	"8"	"1"	"16"	"20"	"-596"	"&"	""	"-596"	"&"
