"X115.....dqekj.kaM..v0tk0."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"ernku dsUnz la[;k"	""	""	""	"vfer dqekj Hkkjrh"	"jes'k _f\"knos"	""	"gfjoYyHk ikloku"	"f'koukjk;.k lnk"	"dqy fof/kekU; er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"2"	"1"	""	""	""	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"
"3"	"1"	""	""	""	"124"	"266"	""	"14"	"5"	"409"	"0"	"409"	"0"
"4"	"2"	""	""	""	"272"	"166"	""	"12"	"12"	"462"	"0"	"462"	"0"
"5"	"3"	""	""	""	"235"	"147"	""	"13"	"6"	"401"	"0"	"401"	"0"
"6"	"4"	""	""	""	"247"	"328"	""	"14"	"31"	"620"	"0"	"620"	"0"
"7"	"5"	""	""	""	"333"	"166"	""	"11"	"13"	"523"	"0"	"523"	"0"
"8"	"6"	""	""	""	"247"	"197"	""	"19"	"17"	"480"	"0"	"480"	"0"
"9"	"7"	""	""	""	"135"	"199"	""	"9"	"12"	"355"	"0"	"355"	"0"
"10"	"7 A"	""	""	""	"95"	"170"	""	"6"	"19"	"290"	"0"	"290"	"0"
"11"	"8"	""	""	""	"167"	"326"	""	"77"	"54"	"624"	"0"	"624"	"0"
"12"	"9"	""	""	""	"137"	"224"	""	"61"	"21"	"443"	"0"	"443"	"0"
"13"	"10"	""	""	""	"67"	"276"	""	"12"	"19"	"374"	"0"	"374"	"0"
"14"	"11"	""	""	""	"18"	"231"	""	"7"	"6"	"262"	"0"	"262"	"0"
"15"	"12"	""	""	""	"149"	"107"	""	"46"	"4"	"306"	"0"	"306"	"0"
"16"	"13"	""	""	""	"31"	"284"	""	"4"	"16"	"335"	"0"	"335"	"0"
"17"	"ROUND 1"	""	""	""	"2257"	"3087"	""	"305"	"235"	"5884"	"0"	"5884"	"0"
"18"	"14"	""	""	""	"177"	"193"	""	"14"	"10"	"394"	"0"	"394"	"0"
"19"	"15"	""	""	""	"11"	"169"	""	"4"	"4"	"188"	"0"	"188"	"0"
"20"	"16"	""	""	""	"172"	"197"	""	"100"	"24"	"493"	"0"	"493"	"0"
"21"	"17"	""	""	""	"121"	"108"	""	"18"	"11"	"258"	"0"	"258"	"0"
"22"	"17 A"	""	""	""	"86"	"175"	""	"31"	"23"	"315"	"0"	"315"	"0"
"23"	"18"	""	""	""	"104"	"176"	""	"46"	"0"	"326"	"0"	"326"	"0"
"24"	"19"	""	""	""	"141"	"65"	""	"118"	"28"	"352"	"0"	"352"	"0"
"25"	"20"	""	""	""	"165"	"121"	""	"24"	"23"	"333"	"0"	"333"	"0"
"26"	"21"	""	""	""	"85"	"124"	""	"17"	"14"	"240"	"0"	"240"	"0"
"27"	"21 A"	""	""	""	"22"	"137"	""	"11"	"24"	"194"	"0"	"194"	"0"
"28"	"22"	""	""	""	"141"	"223"	""	"18"	"33"	"415"	"0"	"415"	"0"
"29"	"23"	""	""	""	"237"	"89"	""	"42"	"12"	"380"	"0"	"380"	"0"
"30"	"24"	""	""	""	"124"	"126"	""	"64"	"11"	"325"	"0"	"325"	"0"
"31"	"24 A"	""	""	""	"83"	"102"	""	"44"	"24"	"253"	"0"	"253"	"0"
"32"	"ROUND 2"	""	""	""	"1669"	"2005"	""	"551"	"241"	"4466"	"0"	"4466"	"0"
"33"	"25"	""	""	""	"121"	"81"	""	"3"	"4"	"209"	"0"	"209"	"0"
"34"	"25 A"	""	""	""	"90"	"130"	""	"29"	"13"	"262"	"0"	"262"	"0"
"35"	"26"	""	""	""	"144"	"90"	""	"32"	"25"	"291"	"0"	"291"	"0"
"36"	"27"	""	""	""	"117"	"176"	""	"18"	"9"	"320"	"0"	"320"	"0"
"37"	"28"	""	""	""	"89"	"153"	""	"5"	"3"	"250"	"0"	"250"	"0"
"38"	"29"	""	""	""	"138"	"121"	""	"63"	"31"	"353"	"0"	"353"	"0"
"39"	"30"	""	""	""	"77"	"110"	""	"7"	"1"	"195"	"0"	"195"	"0"
"40"	"31"	""	""	""	"81"	"294"	""	"65"	"33"	"473"	"0"	"473"	"0"
"41"	"32"	""	""	""	"79"	"125"	""	"26"	"18"	"248"	"0"	"248"	"0"
"42"	"32 A"	""	""	""	"75"	"69"	""	"57"	"9"	"210"	"0"	"210"	"0"
"43"	"33"	""	""	""	"351"	"115"	""	"24"	"17"	"507"	"0"	"507"	"0"
"44"	"34"	""	""	""	"220"	"73"	""	"96"	"16"	"405"	"0"	"405"	"0"
"45"	"35"	""	""	""	"177"	"206"	""	"25"	"12"	"420"	"0"	"420"	"0"
"46"	"36"	""	""	""	"124"	"129"	""	"36"	"25"	"314"	"0"	"314"	"0"
"47"	"ROUND 3"	""	""	""	"1883"	"1872"	""	"486"	"216"	"4457"	"0"	"4457"	"0"
"48"	"36 A"	""	""	""	"33"	"281"	""	"10"	"16"	"340"	"0"	"340"	"0"
"49"	"37"	""	""	""	"278"	"109"	""	"35"	"12"	"434"	"0"	"434"	"0"
"50"	"38"	""	""	""	"66"	"144"	""	"41"	"21"	"272"	"0"	"272"	"0"
"51"	"38 A"	""	""	""	"83"	"129"	""	"12"	"11"	"235"	"0"	"235"	"0"
"52"	"39"	""	""	""	"157"	"135"	""	"19"	"22"	"333"	"0"	"333"	"0"
"53"	"115  &  dqekj[kaM ¼v0tk0½"	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"ernku dsUnz la[;k"	""	""	""	"vfer dqekj Hkkjrh"	"jes'k _f\"knos"	""	"gfjoYyHk ikloku"	"f'koukjk;.k lnk"	"dqy fof/kekU; er"	"izfr{ksfir erksa  dh la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"55"	"39 A"	""	""	""	"124"	"161"	""	"17"	"14"	"316"	"0"	"316"	"0"
"56"	"40"	""	""	""	"96"	"410"	""	"31"	"26"	"563"	"0"	"563"	"0"
"57"	"41"	""	""	""	"155"	"196"	""	"10"	"4"	"365"	"0"	"365"	"0"
"58"	"42"	""	""	""	"190"	"31"	""	"8"	"23"	"252"	"0"	"252"	"0"
"59"	"43"	""	""	""	"286"	"113"	""	"81"	"21"	"501"	"0"	"501"	"0"
"60"	"44"	""	""	""	"13"	"282"	""	"29"	"10"	"334"	"0"	"334"	"0"
"61"	"45"	""	""	""	"234"	"61"	""	"8"	"12"	"315"	"0"	"315"	"0"
"62"	"46"	""	""	""	"42"	"332"	""	"16"	"16"	"406"	"0"	"406"	"0"
"63"	"47"	""	""	""	"74"	"136"	""	"8"	"12"	"230"	"0"	"230"	"0"
"64"	"ROUND 4"	""	""	""	"1831"	"2520"	""	"325"	"220"	"4896"	"0"	"4896"	"0"
"65"	"48"	""	""	""	"105"	"270"	""	"50"	"27"	"452"	"0"	"452"	"0"
"66"	"49"	""	""	""	"236"	"63"	""	"16"	"8"	"323"	"0"	"323"	"0"
"67"	"50"	""	""	""	"220"	"135"	""	"8"	"16"	"379"	"0"	"379"	"0"
"68"	"51"	""	""	""	"119"	"184"	""	"17"	"22"	"342"	"0"	"342"	"0"
"69"	"52"	""	""	""	"256"	"128"	""	"6"	"10"	"400"	"0"	"400"	"0"
"70"	"53"	""	""	""	"282"	"130"	""	"32"	"23"	"467"	"0"	"467"	"0"
"71"	"54"	""	""	""	"246"	"145"	""	"15"	"14"	"420"	"0"	"420"	"0"
"72"	"55"	""	""	""	"156"	"144"	""	"31"	"26"	"357"	"0"	"357"	"0"
"73"	"56"	""	""	""	"38"	"296"	""	"25"	"23"	"382"	"0"	"382"	"0"
"74"	"57"	""	""	""	"54"	"273"	""	"21"	"19"	"367"	"0"	"367"	"0"
"75"	"58"	""	""	""	"328"	"125"	""	"29"	"24"	"506"	"0"	"506"	"0"
"76"	"59"	""	""	""	"76"	"157"	""	"100"	"20"	"353"	"0"	"353"	"0"
"77"	"60"	""	""	""	"46"	"306"	""	"63"	"15"	"430"	"0"	"430"	"0"
"78"	"61"	""	""	""	"160"	"206"	""	"24"	"11"	"401"	"0"	"401"	"0"
"79"	"ROUND 5"	""	""	""	"2322"	"2562"	""	"437"	"258"	"5579"	"0"	"5579"	"0"
"80"	"62"	""	""	""	"150"	"86"	""	"65"	"5"	"306"	"0"	"306"	"0"
"81"	"63"	""	""	""	"129"	"183"	""	"41"	"25"	"378"	"0"	"378"	"0"
"82"	"64"	""	""	""	"90"	"185"	""	"112"	"20"	"407"	"0"	"407"	"0"
"83"	"64 A"	""	""	""	"51"	"180"	""	"30"	"9"	"270"	"0"	"270"	"0"
"84"	"65"	""	""	""	"93"	"178"	""	"75"	"16"	"362"	"0"	"362"	"0"
"85"	"66"	""	""	""	"120"	"319"	""	"33"	"20"	"492"	"0"	"492"	"0"
"86"	"67"	""	""	""	"204"	"231"	""	"32"	"25"	"492"	"0"	"492"	"0"
"87"	"68"	""	""	""	"196"	"148"	""	"14"	"19"	"377"	"0"	"377"	"0"
"88"	"69"	""	""	""	"151"	"131"	""	"21"	"21"	"324"	"0"	"324"	"0"
"89"	"70"	""	""	""	"80"	"197"	""	"37"	"15"	"329"	"0"	"329"	"0"
"90"	"70 A"	""	""	""	"63"	"107"	""	"14"	"14"	"198"	"0"	"198"	"0"
"91"	"71"	""	""	""	"176"	"77"	""	"16"	"26"	"295"	"0"	"295"	"0"
"92"	"71 A"	""	""	""	"195"	"63"	""	"8"	"15"	"281"	"0"	"281"	"0"
"93"	"72"	""	""	""	"96"	"110"	""	"17"	"12"	"235"	"0"	"235"	"0"
"94"	"ROUND 6"	""	""	""	"1794"	"2195"	""	"515"	"242"	"4746"	"0"	"4746"	"0"
"95"	"72 A"	""	""	""	"32"	"197"	""	"11"	"13"	"253"	"0"	"253"	"0"
"96"	"73"	""	""	""	"149"	"241"	""	"24"	"27"	"441"	"0"	"441"	"0"
"97"	"74"	""	""	""	"142"	"101"	""	"26"	"13"	"282"	"0"	"282"	"0"
