"No..and.Name.of.Assembly.Constituency...........45..Hajipur"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No.  :-    1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"4"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"5"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"6"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"7"	"1"	"606"	"13"	"309"	"22"	"228"	"10"	"10"	"5"	"9"	"606"	"0"	"606"	"0"
"8"	"2"	"510"	"9"	"237"	"33"	"194"	"4"	"9"	"7"	"17"	"510"	"0"	"510"	"0"
"9"	"3"	"517"	"13"	"163"	"265"	"54"	"7"	"3"	"1"	"11"	"517"	"0"	"517"	"0"
"10"	"4"	"495"	"3"	"348"	"62"	"68"	"4"	"4"	"3"	"3"	"495"	"0"	"495"	"0"
"11"	"5"	"504"	"8"	"264"	"99"	"105"	"7"	"4"	"2"	"15"	"504"	"0"	"504"	"0"
"12"	"6"	"555"	"6"	"256"	"153"	"92"	"36"	"3"	"1"	"8"	"555"	"0"	"555"	"0"
"13"	"7"	"460"	"7"	"148"	"70"	"213"	"4"	"7"	"6"	"5"	"460"	"0"	"460"	"0"
"14"	"8"	"384"	"2"	"233"	"16"	"117"	"7"	"2"	"2"	"5"	"384"	"0"	"384"	"0"
"15"	"9"	"431"	"7"	"170"	"40"	"195"	"6"	"4"	"4"	"5"	"431"	"0"	"431"	"0"
"16"	"9K"	"270"	"3"	"166"	"36"	"52"	"6"	"2"	"0"	"5"	"270"	"0"	"270"	"0"
"17"	"10"	"339"	"3"	"163"	"40"	"114"	"10"	"1"	"4"	"4"	"339"	"0"	"339"	"0"
"18"	"11"	"315"	"1"	"210"	"35"	"66"	"0"	"2"	"0"	"1"	"315"	"0"	"315"	"0"
"19"	"12"	"385"	"5"	"235"	"61"	"72"	"5"	"2"	"2"	"3"	"385"	"0"	"385"	"0"
"20"	"12K"	"285"	"3"	"236"	"10"	"28"	"1"	"4"	"2"	"1"	"285"	"0"	"285"	"0"
"21"	"Grand Total"	"6056"	"83"	"3138"	"942"	"1598"	"107"	"57"	"39"	"92"	"6056"	"0"	"6056"	"0"
"22"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"23"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"24"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Round No.  :-    2"	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"28"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"29"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"30"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"31"	"13"	"380"	"6"	"260"	"81"	"23"	"3"	"1"	"2"	"4"	"380"	"0"	"380"	"0"
"32"	"14"	"340"	"1"	"205"	"31"	"97"	"1"	"4"	"1"	"0"	"340"	"0"	"340"	"0"
"33"	"14K"	"158"	"1"	"110"	"13"	"32"	"1"	"0"	"1"	"0"	"158"	"0"	"158"	"0"
"34"	"15"	"352"	"0"	"218"	"23"	"104"	"3"	"1"	"0"	"3"	"352"	"0"	"352"	"0"
"35"	"16"	"302"	"3"	"159"	"36"	"96"	"3"	"2"	"1"	"2"	"302"	"0"	"302"	"0"
"36"	"16K"	"153"	"0"	"112"	"16"	"21"	"1"	"1"	"2"	"0"	"153"	"0"	"153"	"0"
"37"	"17"	"362"	"2"	"162"	"45"	"147"	"0"	"1"	"2"	"3"	"362"	"0"	"362"	"0"
"38"	"18"	"466"	"7"	"278"	"114"	"50"	"8"	"1"	"1"	"7"	"466"	"0"	"466"	"0"
"39"	"19"	"401"	"3"	"240"	"71"	"84"	"0"	"2"	"0"	"1"	"401"	"0"	"401"	"0"
"40"	"20"	"379"	"1"	"261"	"31"	"79"	"2"	"1"	"1"	"3"	"379"	"0"	"379"	"0"
"41"	"20K"	"191"	"4"	"100"	"42"	"37"	"3"	"2"	"0"	"3"	"191"	"0"	"191"	"0"
