"X..See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.188...PATNA.WEST.ASSEMBLY.CONSTITUNECY.ROUND.1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"	"X..129"	"X..130"	"X..131"	"X..132"	"X..133"	"X..134"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 188 PATNA WEST"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	""	""	""	""	""	"Total"	""	""	""	""	""	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial no. of polling station"	""	"Anita Kumari"	""	""	""	""	""	"Ashok
Kumar Yadav"	""	""	""	""	""	"Navin
Kishor Pd. Sinha"	""	""	""	""	"Rajesh
Kumar Sinha"	""	""	""	""	""	"Satyanand Sharma"	""	""	""	""	""	""	""	"Vikash Chandra"	""	""	""	""	""	"Shila Devi"	""	""	""	""	""	"ShriKant Singh"	""	""	""	""	""	""	"Santosh Kumar"	""	""	""	""	""	"Anil Kumar Sinha"	""	""	""	"Kavi Kumar"	""	""	""	""	""	""	"Baidyanath Prasad"	""	""	""	""	""	""	""	"Suresh Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"1"	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"119"	""	""	""	""	"131"	""	""	""	""	""	"37"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"1A"	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"47"	""	""	""	""	"103"	""	""	""	""	""	"26"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"182"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"182"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"2"	""	"9"	""	""	""	""	""	"1"	""	""	""	""	""	"234"	""	""	""	""	"61"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"325"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"325"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"2A"	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"76"	""	""	""	""	"112"	""	""	""	""	""	"22"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"213"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"213"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"3"	""	"14"	""	""	""	""	""	"2"	""	""	""	""	""	"49"	""	""	""	""	"155"	""	""	""	""	""	"74"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"3A"	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	"65"	""	""	""	""	"60"	""	""	""	""	""	"29"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	""	"171"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"171"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"4"	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"140"	""	""	""	""	"125"	""	""	""	""	""	"73"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"9"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"361"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"361"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"11"	"4A"	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	"122"	""	""	""	""	"55"	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"197"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"197"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	"5"	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	"352"	""	""	""	""	"41"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"6"	""	"40"	""	""	""	""	""	"2"	""	""	""	""	""	"119"	""	""	""	""	"109"	""	""	""	""	""	"66"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"9"	""	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"359"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"359"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14"	"6A"	""	"39"	""	""	""	""	""	"0"	""	""	""	""	""	"114"	""	""	""	""	"62"	""	""	""	""	""	"25"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
