"X010.RAXAUL"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Booth"	""	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""
"2"	""	""	""	""	""	""	"DR. AJAY KUMAR SINGH"	"RAJ NANDAN RAI"	"SAGIR AHMAD"	"RAJ KUMARI SAHANI"	"KAMOD RAM"	"MIR HASAN"	"TOTAL"
"3"	"No"	"Ext"	"Name"	"Voters"	"CU"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"4"	"1"	""	"P.S. MUSHARWA (EAST DDPART)"	"937"	"F29306"	"1"	"155"	"154"	"148"	"13"	"9"	"21"	"500"
"5"	"2"	""	"P.S. MUSHARWA (W.PART)"	"1190"	"F25905"	"1"	"169"	"307"	"90"	"6"	"10"	"11"	"593"
"6"	"3"	""	"IN PREMISES OF M.S. BHELAHI (N.PART)DD"	"414"	"F04032"	"1"	"211"	"175"	"129"	"11"	"9"	"18"	"553"
"7"	"3"	"A"	"M.S. BHELAHI (N.PART)"	"1114"	"F26278"	"1"	"69"	"77"	"20"	"3"	"4"	"7"	"180"
"8"	"4"	""	"M.S. BHELAHI (S.PART)"	"1373"	"F21569"	"1"	"235"	"281"	"129"	"23"	"8"	"30"	"706"
"9"	"5"	""	"M.S. PARSHURAM PUR"	"915"	"F20243"	"1"	"311"	"229"	"29"	"4"	"7"	"5"	"585"
"10"	"6"	""	"P.S. PURANDRA (S.PART)"	"1190"	"F26618"	"1"	"43"	"156"	"189"	"10"	"14"	"23"	"435"
"11"	"7"	""	"IN PREMISES OF P.S. PURANDARA (N.PART)DD"	"444"	"F25635"	"1"	"202"	"177"	"98"	"3"	"9"	"28"	"517"
"12"	"7"	"A"	"P.S. PURANDARA (N.PART)"	"1163"	"F20455"	"1"	"62"	"62"	"39"	"1"	"2"	"5"	"171"
"13"	"8"	""	"P.S. BHARWALIA"	"1005"	"F36684"	"1"	"131"	"319"	"45"	"6"	"2"	"8"	"511"
"14"	"8"	"A"	"IN PREMISES OF P.S. BHARWALIA E.PDD"	"466"	"F21712"	"2"	"43"	"135"	"15"	"4"	"2"	"2"	"201"
"15"	"9"	""	"M.S. BELWA"	"1277"	"F18492"	"2"	"232"	"160"	"98"	"17"	"16"	"29"	"552"
"16"	"10"	""	"P.S. PIPARIYA"	"1267"	"F21803"	"2"	"254"	"189"	"158"	"14"	"11"	"9"	"635"
"17"	"11"	""	"P.S. GAMHARIYA ANAND SAGAR"	"747"	"F20621"	"2"	"84"	"98"	"138"	"19"	"13"	"13"	"365"
"18"	"12"	""	"PANCHAYAT BHAWAN SIRISIYA NIJAMAT"	"1182"	"F26748"	"2"	"292"	"187"	"54"	"8"	"8"	"20"	"569"
"19"	"13"	""	"P.S. DHARHWA TOLA LAUKARIYA"	"866"	"F18716"	"2"	"78"	"107"	"169"	"4"	"3"	"1"	"362"
"20"	"14"	""	"M.S. LAUKARIYA"	"1210"	"F21591"	"2"	"468"	"69"	"42"	"6"	"1"	"4"	"590"
"21"	"15"	""	"P.S. MISHRA TOLA LAUKARIYA"	"967"	"F16458"	"2"	"273"	"101"	"30"	"8"	"4"	"12"	"428"
"22"	"16"	""	"P.S. LACHHNAUTA"	"584"	"F26249"	"2"	"52"	"159"	"80"	"2"	"3"	"10"	"306"
"23"	"17"	""	"M.S. PARSAUNA TAPSI (N.PART)"	"634"	"F20969"	"2"	"157"	"278"	"50"	"5"	"11"	"24"	"525"
"24"	"17"	"A"	"IN PREMISES OF M.S. PARSAUNA TAPSI (N.PART)DD"	"907"	"F16150"	"3"	"42"	"72"	"82"	"13"	"3"	"12"	"224"
"25"	"18"	""	"M.S. PARSAUNA TAPSI (S.PART)"	"1353"	"F20717"	"3"	"273"	"182"	"97"	"5"	"7"	"10"	"574"
"26"	"19"	""	"IN PREMISES OF P.S. BABUIYA NAYA TOLADD"	"375"	"F21751"	"3"	"69"	"147"	"186"	"6"	"1"	"3"	"412"
"27"	"19"	"A"	"P.S. BABUIYA NAYA TOLA"	"1110"	"F20769"	"3"	"60"	"32"	"55"	"1"	"0"	"1"	"149"
"28"	"20"	""	"P.S. GAD BAHUARI"	"1385"	"F21130o3f 9"	"3"	"58"	"88"	"301"	"16"	"11"	"29"	"503"
"29"	"010-RAXAUL"	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Booth"	""	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""
"31"	""	""	""	""	""	""	"DR. AJAY KUMAR SINGH"	"RAJ NANDAN RAI"	"SAGIR AHMAD"	"RAJ KUMARI SAHANI"	"KAMOD RAM"	"MIR HASAN"	"TOTAL"
"32"	"No"	"Ext"	"Name"	"Voters"	"CU"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"33"	"21"	""	"PANCHAYAT BHAWAN GAD BAHUARI"	"1060"	"F19104"	"3"	"42"	"87"	"253"	"10"	"4"	"7"	"403"
"34"	"21"	"A"	"IN PREMISES OF PANCHAYAT BHAWAN GAD BAHUAR"	"450"	"F21283"	"3"	"6"	"19"	"74"	"0"	"2"	"2"	"103"
"35"	"22"	""	"P.S. SISWANIYA"	"925"	"F06029"	"3"	"23"	"176"	"243"	"7"	"7"	"3"	"459"
"36"	"23"	""	"P.S. BHAIRO BHAGAT TOLA SISWA"	"959"	"F08505"	"3"	"33"	"418"	"44"	"20"	"16"	"24"	"555"
"37"	"24"	""	"PANCHAYAT BHAWAN SISWA"	"951"	"F27150"	"3"	"37"	"571"	"27"	"13"	"26"	"26"	"700"
"38"	"24"	"A"	"IN PREMISES FO PANCHAYAT BHAWAN SISWA CHAL"	"547"	"F16493"	"4"	"37"	"180"	"20"	"6"	"10"	"16"	"269"
"39"	"25"	""	"P.S. KAUWA DHANGAR"	"911"	"F27060"	"4"	"71"	"445"	"22"	"7"	"11"	"13"	"569"
"40"	"26"	""	"P.S. CHUNDALI"	"414"	"F26885"	"4"	"40"	"184"	"27"	"7"	"6"	"13"	"277"
"41"	"27"	""	"M.S. SEMRAI"	"1020"	"F26735"	"4"	"237"	"137"	"83"	"8"	"13"	"11"	"489"
"42"	"28"	""	"P.S. LAXMIPUR"	"1278"	"F20595"	"4"	"94"	"476"	"25"	"10"	"6"	"18"	"629"
"43"	"29"	""	"P.S. SAUNAHA"	"1181"	"F21248"	"4"	"37"	"432"	"34"	"15"	"16"	"13"	"547"
"44"	"30"	""	"P.S. SAUNAHA JAI MANGALAPUR"	"427"	"F24926"	"4"	"28"	"191"	"33"	"8"	"4"	"6"	"270"
"45"	"31"	""	"P.S. LACHHUMANWA (E.PART)"	"671"	"F16333"	"4"	"29"	"385"	"20"	"10"	"5"	"13"	"462"
"46"	"32"	""	"P.S. LACHHUMANWA (W.PART)"	"961"	"F21577"	"4"	"23"	"435"	"70"	"14"	"8"	"30"	"580"
"47"	"33"	""	"P.S. GANGA PUR"	"1180"	"F18348"	"4"	"275"	"191"	"14"	"10"	"6"	"23"	"519"
"48"	"34"	""	"P.S. JAGDHAR"	"1107"	"F26983"	"5"	"128"	"292"	"58"	"7"	"11"	"9"	"505"
"49"	"35"	""	"M.S. PALANWA"	"993"	"F29313"	"5"	"242"	"151"	"67"	"7"	"7"	"11"	"485"
"50"	"36"	""	"M.S. BHARWALIA"	"988"	"F24574"	"5"	"113"	"238"	"32"	"15"	"9"	"11"	"418"
"51"	"37"	""	"P.S. SIDHPUR"	"1086"	"F31660"	"5"	"132"	"150"	"141"	"10"	"7"	"21"	"461"
"52"	"38"	""	"P.S. BAHUARWA"	"1316"	"F24218"	"5"	"235"	"223"	"72"	"7"	"2"	"14"	"553"
"53"	"39"	""	"IN PREMISES OF P.S. BHARATMAHI LEFTDD"	"451"	"F20613"	"5"	"107"	"288"	"66"	"4"	"7"	"11"	"483"
"54"	"39"	"A"	"P.S. BHARATMAHI"	"1095"	"F20376"	"5"	"46"	"143"	"11"	"8"	"1"	"4"	"213"
"55"	"40"	""	"P.S. EKDERWA"	"1149"	"F26224"	"5"	"243"	"103"	"115"	"13"	"2"	"9"	"485"
"56"	"41"	""	"M.S. HARAIYA (N.PART)"	"1319"	"F25632"	"5"	"337"	"84"	"168"	"11"	"7"	"17"	"624"
"57"	"42"	""	"IN PREMISES OF M.S. HARAIYA NEW BUILDINGDD"	"464"	"F27294o6f 9"	"5"	"168"	"130"	"226"	"14"	"8"	"14"	"560"
"58"	"010-RAXAUL"	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"Booth"	""	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""
"60"	""	""	""	""	""	""	"DR. AJAY KUMAR SINGH"	"RAJ NANDAN RAI"	"SAGIR AHMAD"	"RAJ KUMARI SAHANI"	"KAMOD RAM"	"MIR HASAN"	"TOTAL"
"61"	"No"	"Ext"	"Name"	"Voters"	"CU"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"62"	"42"	"A"	"M.S. HARAIYA (S.PART)"	"956"	"F27541"	"6"	"168"	"31"	"27"	"1"	"5"	"9"	"241"
"63"	"43"	""	"P.S. HAJMA TOLA"	"905"	"F71043"	"6"	"508"	"19"	"12"	"6"	"2"	"4"	"551"
"64"	"44"	""	"M.S. PANTOKA"	"1043"	"F20568"	"6"	"186"	"304"	"70"	"16"	"11"	"13"	"600"
"65"	"45"	""	"M.S. JOKIYARI (S.PART)"	"1132"	"A15158"	"6"	"171"	"302"	"168"	"13"	"11"	"25"	"690"
"66"	"46"	""	"M.S. JOKIYARI (N.PART)"	"970"	"A10356"	"6"	"185"	"160"	"125"	"9"	"7"	"12"	"498"
"67"	"47"	""	"P.S. JATIYAHI"	"802"	"F24395"	"6"	"295"	"93"	"19"	"4"	"10"	"8"	"429"
"68"	"48"	""	"P.S. KHIRLICHIYA"	"1115"	"F76004"	"6"	"185"	"113"	"168"	"11"	"10"	"33"	"520"
"69"	"49"	""	"P.S. CHIKNI"	"1205"	"F21070"	"6"	"237"	"354"	"167"	"10"	"4"	"8"	"780"
"70"	"50"	""	"P.S. SIHORWA"	"591"	"F16314"	"6"	"319"	"45"	"25"	"15"	"5"	"2"	"411"
