"X."	"X..1"	"X..2"	"X012.MOTIHARI"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	""	""	"PRAMOD   KUMAR"	"MAHENDRA   PD.   SINGH"	"RAMA   DEVI"	"SAMBHU  RAI"	"SURESH  SAHANI (Sarotar)"	"RAJU  BAITHA"	"SUMIT  KUMAR  MITRA"	"ARVIND  KUMAR  SINHA"	"UDAY SHANKAR PASWAN"	"KISUN PASWAN"	"YOGENDRA BAITHA"	"VIJAY KUMAR GUPTA"	"SURESH SAHANI(Hathiyahi)"	"Total"
"3"	"No"	"Ext"	"Voters"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"4"	"1"	"A"	"780"	"1"	"102"	"3"	"87"	"12"	"159"	"7"	"3"	"7"	"16"	"4"	"6"	"14"	"26"	"446"
"5"	"1"	""	"781"	"1"	"216"	"12"	"110"	"6"	"52"	"1"	"1"	"1"	"1"	"3"	"0"	"4"	"13"	"420"
"6"	"2"	""	"1315"	"1"	"154"	"7"	"214"	"22"	"101"	"10"	"6"	"4"	"15"	"5"	"3"	"17"	"23"	"581"
"7"	"3"	""	"801"	"1"	"161"	"8"	"107"	"16"	"82"	"4"	"1"	"2"	"8"	"1"	"4"	"3"	"3"	"400"
"8"	"4"	""	"396"	"1"	"82"	"2"	"143"	"2"	"1"	"1"	"0"	"0"	"1"	"2"	"2"	"0"	"10"	"246"
"9"	"5"	""	"429"	"1"	"104"	"10"	"81"	"9"	"48"	"3"	"2"	"0"	"3"	"2"	"0"	"11"	"2"	"275"
"10"	"6"	""	"1273"	"1"	"119"	"7"	"133"	"106"	"129"	"6"	"10"	"7"	"17"	"8"	"7"	"15"	"36"	"600"
"11"	"7"	""	"1396"	"1"	"151"	"7"	"191"	"13"	"309"	"20"	"5"	"10"	"14"	"4"	"7"	"16"	"13"	"760"
"12"	"8"	""	"990"	"1"	"159"	"5"	"59"	"6"	"139"	"6"	"2"	"1"	"10"	"7"	"2"	"12"	"9"	"417"
"13"	"9"	""	"871"	"1"	"298"	"9"	"34"	"7"	"75"	"5"	"0"	"1"	"1"	"5"	"1"	"5"	"8"	"449"
"14"	"10"	""	"1393"	"2"	"264"	"7"	"183"	"11"	"78"	"6"	"1"	"1"	"4"	"6"	"5"	"8"	"22"	"596"
"15"	"11"	""	"865"	"2"	"225"	"9"	"155"	"5"	"37"	"4"	"0"	"0"	"1"	"2"	"3"	"1"	"9"	"451"
"16"	"11"	"A"	"836"	"2"	"318"	"4"	"125"	"2"	"22"	"0"	"2"	"0"	"1"	"1"	"1"	"3"	"3"	"482"
"17"	"12"	"A"	"648"	"2"	"230"	"6"	"121"	"10"	"8"	"1"	"2"	"1"	"1"	"2"	"5"	"1"	"22"	"410"
"18"	"12"	""	"934"	"2"	"242"	"7"	"78"	"2"	"30"	"5"	"0"	"4"	"3"	"0"	"1"	"5"	"10"	"387"
"19"	"13"	""	"839"	"2"	"51"	"4"	"139"	"63"	"75"	"9"	"3"	"3"	"6"	"3"	"1"	"1"	"7"	"365"
"20"	"14"	""	"978"	"2"	"193"	"12"	"228"	"9"	"31"	"1"	"1"	"1"	"0"	"3"	"3"	"8"	"15"	"505"
"21"	"15"	"A"	"679"	"2"	"153"	"3"	"95"	"9"	"57"	"2"	"3"	"1"	"11"	"2"	"2"	"3"	"21"	"362"
"22"	"15"	""	"752"	"2"	"205"	"4"	"60"	"3"	"50"	"1"	"2"	"2"	"2"	"1"	"2"	"5"	"8"	"345"
"23"	"16"	""	"1314"	"2"	"139"	"4"	"287"	"5"	"105"	"5"	"0"	"3"	"1"	"2"	"2"	"2"	"13"	"568"
"24"	"17"	""	"1003"	"3"	"382"	"6"	"188"	"2"	"24"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"11"	"626"
"25"	"18"	""	"1176"	"3"	"244"	"8"	"224"	"16"	"92"	"13"	"3"	"6"	"12"	"6"	"5"	"12"	"13"	"654"
