"X..FORM.20...FINAL.RESULT.SHEET...See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.194.BIKRAM.ASSEMBLY.CONSTITUNECY.ROUND.1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 194-BIKRAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of"	""	""	"No. of"	""	""	""	""	"No. of tendered"	""	""	""	""	""	""
"3"	"Serial no. of"	""	"ANIL"	""	""	"DEVI DAYAL"	""	""	"SHAILESH"	""	""	""	"SHYAM DEO"	""	""	"JITENDRA"	""	""	"ANIL"	""	""	"DAMYANTI"	""	""	""	"BHUSHAN"	""	""	"MUNNA"	""	""	""	""	"RAGHUNANDAN"	""	""	"RAMESH"	""	""	""	"Valid Votes"	""	""	"votes"	""	""	""	""	"votes"	""	""	""	""	""	""
"4"	"1"	""	"462"	""	""	"7"	""	""	"13"	""	""	""	"39"	""	""	"1"	""	""	"1"	""	""	"3"	""	""	""	"1"	""	""	"1"	""	""	""	""	"4"	""	""	"6"	""	""	""	"538"	""	""	""	""	""	"538"	""	""	""	""	""	""	""	""
"5"	"2"	""	"256"	""	""	"4"	""	""	"84"	""	""	""	"24"	""	""	"3"	""	""	"1"	""	""	"4"	""	""	""	"6"	""	""	"3"	""	""	""	""	"2"	""	""	"8"	""	""	""	"395"	""	""	""	""	""	"395"	""	""	""	""	""	""	""	""
"6"	"3"	""	"305"	""	""	"29"	""	""	"77"	""	""	""	"51"	""	""	"2"	""	""	"5"	""	""	"3"	""	""	""	"12"	""	""	"8"	""	""	""	""	"1"	""	""	"18"	""	""	""	"511"	""	""	""	""	""	"511"	""	""	""	""	""	""	""	""
"7"	"4"	""	"105"	""	""	"1"	""	""	"7"	""	""	""	"139"	""	""	"16"	""	""	"4"	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	""	""	"6"	""	""	"7"	""	""	""	"287"	""	""	""	""	""	"287"	""	""	""	""	""	""	""	""
"8"	"5"	""	"158"	""	""	"2"	""	""	"10"	""	""	""	"62"	""	""	"5"	""	""	"3"	""	""	"1"	""	""	""	"2"	""	""	"3"	""	""	""	""	"7"	""	""	"12"	""	""	""	"265"	""	""	""	""	""	"265"	""	""	""	""	""	""	""	""
"9"	"6"	""	"309"	""	""	"45"	""	""	"62"	""	""	""	"74"	""	""	"15"	""	""	"2"	""	""	"0"	""	""	""	"6"	""	""	"8"	""	""	""	""	"5"	""	""	"12"	""	""	""	"538"	""	""	""	""	""	"538"	""	""	""	""	""	""	""	""
"10"	"7"	""	"77"	""	""	"1"	""	""	"69"	""	""	""	"56"	""	""	"2"	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	""	"2"	""	""	"6"	""	""	""	"217"	""	""	""	""	""	"217"	""	""	""	""	""	""	""	""
"11"	"8"	""	"129"	""	""	"5"	""	""	"151"	""	""	""	"29"	""	""	"7"	""	""	"0"	""	""	"2"	""	""	""	"9"	""	""	"15"	""	""	""	""	"5"	""	""	"12"	""	""	""	"364"	""	""	""	""	""	"364"	""	""	""	""	""	""	""	""
"12"	"9"	""	"101"	""	""	"9"	""	""	"100"	""	""	""	"71"	""	""	"2"	""	""	"2"	""	""	"1"	""	""	""	"3"	""	""	"4"	""	""	""	""	"3"	""	""	"5"	""	""	""	"301"	""	""	""	""	""	"301"	""	""	""	""	""	""	""	""
"13"	"10"	""	"171"	""	""	"12"	""	""	"55"	""	""	""	"157"	""	""	"9"	""	""	"4"	""	""	"5"	""	""	""	"7"	""	""	"3"	""	""	""	""	"2"	""	""	"15"	""	""	""	"440"	""	""	""	""	""	"440"	""	""	""	""	""	""	""	""
