"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of Electors in Assembly Constituency/Segment                          250546"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly/Segment                                                                   198-Ara"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Booth"	"ABDUL AHAD"	""	"AMRENDRA
PRATAP SINGH"	"MD.
NAWAJ ALAM"	"VINOD
KUMAR PANDEY"	"SUDAMA PRASAD"	"JAIRAM PRASAD"	"RAJENDRA UPADHYAY"	"SHIV
KUMAR SAHAY"	"FAISHON AHMAD"	"MANOJ KUMAR
IND"	"RAKESH KUMAR
IND"	"SHAMBHU PRASAD SHARMA
IND"	"SUSHIL VIKRANT
IND"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"11"	"No"	"Booth Name"	"LJP"	"BJP"	"RJD"	"BSP"	"CPI(ML)(L)"	"JKM"	"ABJS"	"RSP"	"IND"	""	""	""	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"MIDDLE SCHOOL SALEMPUR"	"20"	"115"	"104"	"2"	"2"	"0"	"1"	"1"	"0"	"0"	"5"	"1"	"5"	"256"	"0"	"256"	"0"
"14"	"2"	"URDU PRIMARY SCHOOL,IJARI TOLA,(EASTERN PART)"	"80"	"102"	"127"	"4"	"35"	"1"	"2"	"5"	"6"	"4"	"4"	"2"	"10"	"382"	"0"	"382"	"0"
"15"	"3"	"SALEMPUR KACHHARI(EASTERN PART)"	"14"	"157"	"346"	"9"	"21"	"4"	"5"	"7"	"4"	"4"	"9"	"5"	"14"	"599"	"0"	"599"	"0"
"16"	"4"	"PRIMARY SCHOOL BAGHAKOL"	"9"	"182"	"113"	"3"	"5"	"0"	"3"	"2"	"0"	"0"	"0"	"3"	"5"	"325"	"0"	"325"	"0"
"17"	"5"	"SAHKARITA GODAM SALEMPUR"	"76"	"104"	"140"	"4"	"47"	"2"	"2"	"0"	"5"	"5"	"4"	"1"	"11"	"401"	"0"	"401"	"0"
"18"	"6"	"PRIMARY SCHOOL TEKSEMAR"	"1"	"92"	"40"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"134"	"0"	"134"	"0"
"19"	"7"	"HARIJAN DALAN PIAPRA"	"98"	"209"	"64"	"0"	"52"	"2"	"3"	"6"	"0"	"4"	"1"	"3"	"12"	"454"	"0"	"454"	"0"
"20"	"8"	"PRIMARY SCHOOL BASMANPUR"	"2"	"99"	"80"	"4"	"18"	"3"	"0"	"5"	"0"	"1"	"2"	"0"	"2"	"216"	"0"	"216"	"0"
"21"	"9"	"PRIMARY SCHOOL PIPRA"	"50"	"30"	"143"	"10"	"2"	"1"	"1"	"0"	"1"	"3"	"4"	"1"	"8"	"254"	"0"	"254"	"0"
"22"	"10"	"PANCHAYAT BHAWAN BEHRA"	"7"	"317"	"38"	"0"	"6"	"0"	"0"	"0"	"1"	"0"	"6"	"1"	"2"	"378"	"0"	"378"	"0"
"23"	"11"	"PRIMARY SCHOOL BEHARA"	"51"	"90"	"27"	"10"	"119"	"5"	"7"	"4"	"5"	"6"	"3"	"3"	"8"	"338"	"0"	"338"	"0"
"24"	"12"	"PRIMARY SCHOOL AGARSANDA"	"49"	"106"	"296"	"12"	"17"	"4"	"3"	"1"	"4"	"4"	"11"	"5"	"13"	"525"	"0"	"525"	"0"
"25"	"13"	"PRIMARY SCHOOL PAWAT"	"23"	"166"	"238"	"2"	"4"	"1"	"0"	"2"	"0"	"2"	"1"	"1"	"1"	"441"	"0"	"441"	"0"
"26"	"14"	"PRIMARY SCHOOL SEMARIYAN"	"17"	"193"	"26"	"0"	"65"	"1"	"0"	"2"	"2"	"0"	"1"	"1"	"4"	"312"	"0"	"312"	"0"
"27"	"15"	"PRIMARY SCHOOL DHARAMPURA"	"4"	"159"	"61"	"3"	"39"	"3"	"1"	"2"	"1"	"1"	"5"	"2"	"5"	"286"	"0"	"286"	"0"
"28"	"16"	"PRIMARY SCHOOL PURSOTAMPUR"	"92"	"197"	"38"	"0"	"23"	"4"	"1"	"0"	"3"	"2"	"0"	"2"	"2"	"364"	"0"	"364"	"0"
"29"	"17"	"PRIMARY SCHOOL SINGHITALA"	"118"	"102"	"42"	"0"	"1"	"1"	"0"	"0"	"0"	"4"	"0"	"2"	"5"	"275"	"0"	"275"	"0"
"30"	"18"	"MIDDLE SCHOOL HEMANTPUR(E)"	"34"	"238"	"54"	"2"	"5"	"1"	"2"	"2"	"1"	"1"	"3"	"2"	"19"	"364"	"0"	"364"	"0"
"31"	"18A"	"MIDDLE SCHOOL HEMANTPUR(W)"	"44"	"167"	"33"	"0"	"7"	"2"	"0"	"0"	"1"	"2"	"0"	"3"	"4"	"263"	"0"	"263"	"0"
"32"	"19"	"PRIMARY SCHOOL MAINPURA"	"85"	"265"	"76"	"6"	"81"	"5"	"5"	"8"	"9"	"14"	"3"	"5"	"21"	"583"	"0"	"583"	"0"
"33"	"20"	"PRIMARY SCHOOL SHUKALPURA(BALAK)"	"49"	"322"	"73"	"8"	"5"	"1"	"1"	"4"	"2"	"7"	"1"	"8"	"6"	"487"	"0"	"487"	"0"
"34"	"21"	"PRIMARY SCHOOL DARIYAPUR"	"11"	"275"	"27"	"2"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"318"	"0"	"318"	"0"
"35"	"22"	"GIRL PRIMARY SCHOOL DARIYAPUR"	"24"	"287"	"18"	"3"	"10"	"3"	"1"	"0"	"0"	"0"	"0"	"2"	"3"	"351"	"0"	"351"	"0"
"36"	"23"	"PRIMARY SCHOOL GANUALI"	"43"	"327"	"20"	"1"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"5"	"401"	"0"	"401"	"0"
"37"	"24"	"SAMUDAYIK BHWAN MILKI"	"0"	"141"	"86"	"3"	"13"	"0"	"0"	"1"	"1"	"0"	"3"	"3"	"0"	"251"	"0"	"251"	"0"
"38"	"25"	"PRIMARY SCHOOL JOKHARPUR"	"1"	"151"	"185"	"3"	"3"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"6"	"354"	"0"	"354"	"0"
"39"	"26"	"BHAGRASANA PRIMARY SCHOOL DHAMAR"	"6"	"199"	"79"	"3"	"21"	"4"	"2"	"9"	"0"	"1"	"3"	"1"	"7"	"335"	"0"	"335"	"0"
"40"	"27"	"MIDDLE SCHOOL DHAMAR(EASTERN PART)"	"5"	"42"	"432"	"6"	"6"	"1"	"1"	"0"	"2"	"0"	"5"	"0"	"0"	"500"	"0"	"500"	"0"
"41"	"28"	"MIDDLE SCHOOL DHAMAR(WESTERN PART)"	"10"	"39"	"35"	"47"	"221"	"11"	"6"	"13"	"11"	"9"	"1"	"8"	"21"	"432"	"0"	"432"	"0"
"42"	"29"	"PANCHAYAT BHAWAN DHAMAR"	"13"	"179"	"137"	"12"	"50"	"2"	"3"	"8"	"5"	"2"	"8"	"8"	"5"	"432"	"0"	"432"	"0"
"43"	"30"	"PRIMARY SCHOOL GHORADEYI"	"54"	"87"	"185"	"4"	"5"	"2"	"1"	"2"	"1"	"2"	"6"	"1"	"7"	"357"	"0"	"357"	"0"
"44"	"31"	"PRIMARY SCHOOL UDAIPUR"	"87"	"107"	"16"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"4"	"5"	"223"	"0"	"223"	"0"
"45"	"32"	"MIDDLE SCHOOL KHAJURIYA(EASTERN PART)"	"39"	"100"	"314"	"10"	"41"	"12"	"3"	"3"	"2"	"6"	"0"	"1"	"4"	"535"	"0"	"535"	"0"
"46"	"33"	"MIDDLE SCHOOL KHJURIYA(WESTERN PART)"	"14"	"340"	"63"	"1"	"19"	"16"	"3"	"1"	"0"	"0"	"0"	"2"	"2"	"461"	"0"	"461"	"0"
"47"	"34"	"PRIMARY SCHOOL CHITKUNDI"	"62"	"186"	"242"	"6"	"80"	"1"	"2"	"2"	"2"	"6"	"5"	"3"	"9"	"606"	"0"	"606"	"0"
"48"	"35"	"PRIMARY SCHOOL JURA"	"46"	"124"	"69"	"2"	"3"	"2"	"1"	"0"	"1"	"4"	"2"	"3"	"26"	"283"	"0"	"283"	"0"
"49"	"36"	"PRIMARY SCHOOL AMARPUR MAKHATIYA"	"12"	"447"	"17"	"2"	"49"	"3"	"0"	"2"	"3"	"0"	"1"	"0"	"1"	"537"	"0"	"537"	"0"
"50"	"37"	"PRIMARY SCHOOL SUNDERPUR KURIYA"	"21"	"129"	"113"	"3"	"56"	"2"	"0"	"3"	"1"	"0"	"2"	"1"	"1"	"332"	"0"	"332"	"0"
"51"	"38"	"MIDDLE SCHOOL PAITHANPUR"	"22"	"347"	"57"	"24"	"10"	"0"	"0"	"1"	"0"	"1"	"3"	"1"	"3"	"469"	"0"	"469"	"0"
"52"	"39"	"PRIMARY SCHOOL KHUSHALPUR"	"7"	"154"	"181"	"1"	"53"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"401"	"0"	"401"	"0"
"53"	"Booth"	"ABDUL AHAD"	""	"AMRENDRA
PRATAP SINGH"	"MD.
NAWAJ ALAM"	"VINOD
KUMAR PANDEY"	"SUDAMA PRASAD"	"JAIRAM PRASAD"	"RAJENDRA UPADHYAY"	"SHIV
KUMAR SAHAY"	"FAISHON AHMAD"	"MANOJ KUMAR
IND"	"RAKESH KUMAR
IND"	"SHAMBHU PRASAD SHARMA
IND"	"SUSHIL VIKRANT
IND"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"54"	"No"	"Booth Name"	"LJP"	"BJP"	"RJD"	"BSP"	"CPI(ML)(L)"	"JKM"	"ABJS"	"RSP"	"IND"	""	""	""	""	""	""	""	""
"55"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"56"	"40"	"PRIMARY SCHOOL GANGHAR TOLA ENGLISH"	"7"	"13"	"543"	"18"	"1"	"5"	"2"	"0"	"0"	"0"	"1"	"0"	"4"	"594"	"0"	"594"	"0"
"57"	"41"	"MIDDLE SCHOOL GANGAHAR(NORTHERN PART)"	"7"	"357"	"71"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"442"	"0"	"442"	"0"
"58"	"42"	"MIDDLE SCHOOL GANGHAR(SOUTHERN PART)"	"7"	"108"	"172"	"15"	"96"	"11"	"4"	"15"	"2"	"1"	"17"	"4"	"15"	"467"	"0"	"467"	"0"
"59"	"43"	"PRIMARY SCHOOL BELGHAT"	"49"	"292"	"35"	"1"	"1"	"1"	"1"	"0"	"2"	"4"	"0"	"0"	"3"	"389"	"0"	"389"	"0"
"60"	"44"	"PRIMARY SCHOOL DURAOUNDHA(N)"	"58"	"171"	"146"	"1"	"0"	"0"	"2"	"1"	"4"	"2"	"0"	"1"	"2"	"388"	"0"	"388"	"0"
"61"	"44A"	"PRIMARY SCHOOL DURAOUNDHA(S)"	"17"	"87"	"54"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"162"	"0"	"162"	"0"
"62"	"45"	"HIGH BASIC SCHOOL MAHULI"	"45"	"409"	"74"	"2"	"19"	"4"	"0"	"3"	"1"	"5"	"0"	"1"	"2"	"565"	"0"	"565"	"0"
"63"	"46"	"GIRLS SCHOOL MAHULI"	"142"	"343"	"63"	"6"	"32"	"5"	"4"	"4"	"7"	"9"	"0"	"1"	"12"	"628"	"0"	"628"	"0"
"64"	"47"	"PRIMARY SCHOOL NIRMALPUR"	"6"	"164"	"128"	"0"	"8"	"1"	"0"	"3"	"1"	"3"	"0"	"0"	"4"	"318"	"0"	"318"	"0"
"65"	"48"	"PRIMARY SCHOOL SAIDPUR"	"11"	"175"	"123"	"4"	"11"	"2"	"5"	"3"	"1"	"1"	"1"	"3"	"9"	"349"	"0"	"349"	"0"
"66"	"49"	"HIGH SCHOOL KARARI(EASTERN PART)"	"17"	"93"	"241"	"16"	"94"	"8"	"4"	"6"	"3"	"1"	"2"	"1"	"4"	"490"	"0"	"490"	"0"
"67"	"50"	"HIGH SCHOOL KARARI(WESTERN PART)"	"149"	"113"	"189"	"4"	"5"	"5"	"1"	"1"	"2"	"2"	"12"	"6"	"24"	"513"	"0"	"513"	"0"
"68"	"51"	"HIGH SCHOOL KARARI(MIDDLE PART)"	"12"	"293"	"96"	"1"	"17"	"3"	"1"	"0"	"0"	"2"	"1"	"2"	"4"	"432"	"0"	"432"	"0"
"69"	"52"	"GIRLS PATHSALA DEVRHI"	"10"	"99"	"57"	"2"	"87"	"3"	"1"	"4"	"0"	"1"	"4"	"2"	"10"	"280"	"0"	"280"	"0"
"70"	"53"	"PRIMARY SCHOOL MOHANPUR"	"17"	"197"	"2"	"0"	"36"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"254"	"0"	"254"	"0"
"71"	"54"	"PRIMARY SCHOOL KARARA"	"54"	"232"	"131"	"8"	"5"	"2"	"3"	"1"	"3"	"4"	"5"	"5"	"13"	"466"	"0"	"466"	"0"
"72"	"55"	"KANYA PATHSALA DHOBHAN"	"62"	"237"	"72"	"3"	"46"	"0"	"0"	"1"	"2"	"2"	"0"	"0"	"6"	"431"	"0"	"431"	"0"
"73"	"56"	"MIDDLE SCHOOL BHEDEYA"	"103"	"359"	"75"	"9"	"22"	"4"	"4"	"1"	"3"	"7"	"0"	"2"	"10"	"599"	"0"	"599"	"0"
"74"	"57"	"PRIMARY SCHOOL SARSIWAN"	"7"	"131"	"81"	"3"	"3"	"3"	"0"	"4"	"0"	"0"	"2"	"2"	"0"	"236"	"0"	"236"	"0"
"75"	"58"	"MIDDLE SCHOOL BASANTPUR"	"98"	"383"	"45"	"2"	"2"	"3"	"1"	"0"	"2"	"4"	"2"	"3"	"25"	"570"	"0"	"570"	"0"
"76"	"59"	"PRIMARY SCHOOL RAMPUR"	"3"	"419"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"424"	"0"	"424"	"0"
"77"	"60"	"PANCHAYAT BHAWAN BASANTPUR"	"63"	"242"	"29"	"2"	"2"	"1"	"2"	"3"	"3"	"5"	"2"	"8"	"11"	"373"	"0"	"373"	"0"
"78"	"61"	"PRIMARY SCHOOL BELA"	"49"	"378"	"96"	"0"	"4"	"1"	"1"	"8"	"0"	"2"	"0"	"0"	"4"	"543"	"0"	"543"	"0"
"79"	"62"	"PRIMARY SCHOOL RAMPURMATHIYA"	"106"	"129"	"172"	"9"	"0"	"3"	"1"	"2"	"3"	"2"	"7"	"4"	"13"	"451"	"0"	"451"	"0"
"80"	"63"	"HIGH SCHOOL PIROUTA(SOUTH PART)"	"25"	"41"	"164"	"10"	"133"	"3"	"6"	"7"	"5"	"5"	"12"	"10"	"11"	"432"	"0"	"432"	"0"
"81"	"64"	"HIGH SCHOOL PIROUTA(NORTHERN PART)"	"32"	"214"	"276"	"3"	"18"	"2"	"2"	"3"	"0"	"1"	"1"	"0"	"2"	"554"	"0"	"554"	"0"
"82"	"65"	"PRIMARY SCHOOL NAGOPUR"	"2"	"252"	"49"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"0"	"313"	"0"
"83"	"66"	"PRIMARY SCHOOL PIPRA JAYPAL"	"2"	"407"	"33"	"0"	"11"	"2"	"0"	"0"	"2"	"2"	"2"	"0"	"0"	"461"	"0"	"461"	"0"
"84"	"67"	"PRIMARY SCHOOL JOGWALIYA"	"145"	"143"	"32"	"1"	"5"	"0"	"2"	"1"	"2"	"4"	"1"	"5"	"10"	"351"	"0"	"351"	"0"
"85"	"68"	"MIDDLE SCHOOL RAMAPUR SANDIYA(E)"	"4"	"237"	"31"	"0"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"277"	"0"	"277"	"0"
"86"	"68A"	"MIDDLE SCHOOL RAMAPUR SANDIYA(W)"	"85"	"45"	"242"	"11"	"8"	"5"	"1"	"1"	"8"	"16"	"1"	"0"	"1"	"424"	"0"	"424"	"0"
"87"	"69"	"PRIMARY SCHOOL RAMAPUR"	"65"	"194"	"198"	"7"	"6"	"3"	"7"	"2"	"1"	"2"	"3"	"0"	"6"	"494"	"0"	"494"	"0"
